,Freq (Hz),Complex (decimal)
0,6180000000.0,(-0.04955673-0.0797081j)
1,6182300000.0,(-0.06708145-0.06548309j)
2,6184600000.0,(-0.08115768-0.0479393j)
3,6186900000.0,(-0.09073257-0.02748108j)
4,6189200000.0,(-0.09482574-0.004776001j)
5,6191500000.0,(-0.09407043+0.01904297j)
6,6193800000.0,(-0.08802414+0.04151535j)
7,6196100000.0,(-0.07475662+0.06031799j)
8,6198400000.0,(-0.05804443+0.07819748j)
9,6200700000.0,(-0.03657532+0.09036255j)
10,6203000000.0,(-0.01360321+0.09731293j)
11,6205300000.0,(0.01114655+0.09772491j)
12,6207600000.0,(0.03546143+0.09104919j)
13,6209900000.0,(0.05666733+0.07930374j)
14,6212200000.0,(0.07410049+0.06194687j)
15,6214500000.0,(0.08648682+0.04146194j)
16,6216800000.0,(0.09296417+0.01924896j)
17,6219100000.0,(0.09371185-0.003837585j)
18,6221400000.0,(0.08759689-0.02309036j)
19,6223700000.0,(0.08008957-0.04459381j)
20,6226000000.0,(0.06576538-0.06087494j)
21,6228300000.0,(0.05078888-0.07503128j)
22,6230600000.0,(0.03176498-0.08417892j)
23,6232900000.0,(0.0128479-0.08887863j)
24,6235200000.0,(-0.00868988-0.0896759j)
25,6237500000.0,(-0.02898026-0.08549118j)
26,6239800000.0,(-0.04838181-0.07789993j)
27,6242100000.0,(-0.06523514-0.06548691j)
28,6244400000.0,(-0.07978058-0.04899597j)
29,6246700000.0,(-0.09051132-0.02934265j)
30,6249000000.0,(-0.09609985-0.006652832j)
31,6251300000.0,(-0.09698486+0.01725769j)
32,6253600000.0,(-0.09108353+0.04127502j)
33,6255900000.0,(-0.0787735+0.06346893j)
34,6258200000.0,(-0.06058502+0.08198547j)
35,6260500000.0,(-0.03884125+0.09563446j)
36,6262800000.0,(-0.01359558+0.1020508j)
37,6265100000.0,(0.01360321+0.1025391j)
38,6267400000.0,(0.03940582+0.09638214j)
39,6269700000.0,(0.06182861+0.08257675j)
40,6272000000.0,(0.08033371+0.06387711j)
41,6274300000.0,(0.09268951+0.04176331j)
42,6276600000.0,(0.09915924+0.01718903j)
43,6278900000.0,(0.09867859-0.007835388j)
