,Freq (Hz),Complex (decimal)
0,80000000.0,(-8.974224e-06+6.667153e-05j)
1,81200000.0,(8.13901e-05+0.0001910776j)
2,82400000.0,(1.058e-06+0.0001810342j)
3,83600000.0,(0.0001202598+0.000133425j)
4,84800000.0,(0.0001346916+0.0001520365j)
5,86000000.0,(0.0001838952+0.0001297295j)
6,87200000.0,(0.0001924634+8.40873e-05j)
7,88400000.0,(0.0001793951+2.94447e-05j)
8,89600000.0,(0.0002323538+4.55827e-05j)
9,90800000.0,(0.0001739413+1.8924e-06j)
10,92000000.0,(0.0002165288-9.641051e-06j)
11,93200000.0,(0.0002440363+2.04891e-05j)
12,94400000.0,(0.0002146363-0.0001461059j)
13,95600000.0,(0.0002647787-0.0001412332j)
14,96800000.0,(0.0002043843-0.0001484007j)
15,98000000.0,(0.0002204031-0.0001982152j)
16,99200000.0,(0.0002394468-0.0002354085j)
17,100400000.0,(0.0001516193-0.0001870841j)
18,101600000.0,(0.0001428574-0.000243932j)
19,102800000.0,(8.51899e-05-0.0002312511j)
20,104000000.0,(7.78139e-05-0.0003288686j)
21,105200000.0,(2.97129e-05-0.0003225207j)
22,106400000.0,(-1.013279e-06-0.0002941489j)
23,107600000.0,(-2.476573e-05-0.0003452599j)
24,108800000.0,(-2.563e-05-0.0002797246j)
25,110000000.0,(-6.499887e-05-0.0003384948j)
26,111200000.0,(-0.0001793206-0.0002987683j)
27,112400000.0,(-0.0002024472-0.0002748072j)
28,113600000.0,(-0.000228405-0.0003032237j)
29,114800000.0,(-0.0002158582-0.0003013462j)
30,116000000.0,(-0.0002836734-0.0002945364j)
31,117200000.0,(-0.0002883375-0.0001492053j)
32,118400000.0,(-0.0003527701-0.0001507401j)
33,119600000.0,(-0.0004006922-2.837181e-05j)
34,120800000.0,(-0.0003688186-1.180172e-05j)
35,122000000.0,(-0.0004334152-3.547966e-05j)
36,123200000.0,(-0.0003797412+3.6031e-05j)
37,124400000.0,(-0.0003486425+0.0001999736j)
38,125600000.0,(-0.0003881305+0.0001901388j)
39,126800000.0,(-0.0003499687+0.0002533346j)
40,128000000.0,(-0.0003126413+0.0003233254j)
41,129200000.0,(-0.0003334135+0.0003246814j)
42,130400000.0,(-0.0002957731+0.0003925264j)
43,131600000.0,(-0.0002185553+0.0003425479j)
44,132800000.0,(-0.0001921952+0.0004607737j)
45,134000000.0,(-9.23872e-05+0.0004528761j)
46,135200000.0,(-8.526444e-05+0.0004739463j)
47,136400000.0,(-4.708767e-06+0.0004839897j)
48,137600000.0,(6.4373e-05+0.0005113482j)
49,138800000.0,(0.0001358092+0.0004289448j)
50,140000000.0,(0.0001559556+0.0004525483j)
51,141200000.0,(0.0002405941+0.0004492104j)
52,142400000.0,(0.0003256798+0.0004225075j)
53,143600000.0,(0.0003706515+0.0003419966j)
54,144800000.0,(0.0003948212+0.0002878159j)
55,146000000.0,(0.000497669+0.0002948344j)
56,147200000.0,(0.0004993975+0.0002461374j)
57,148400000.0,(0.0005293787+0.0001687407j)
58,149600000.0,(0.0005593896+9.82285e-05j)
59,150800000.0,(0.0005428791+6.9499e-05j)
60,152000000.0,(0.0006197393-5.784631e-05j)
61,153200000.0,(0.000613302-8.493662e-05j)
62,154400000.0,(0.0006434917-0.0002285242j)
