,Freq (Hz),Complex (decimal)
0,6000000000.0,(-0.02829742-0.08715057j)
1,6001300000.0,(-0.03947449-0.0832901j)
2,6002600000.0,(-0.05019379-0.07763672j)
3,6003900000.0,(-0.06024933-0.07092285j)
4,6005200000.0,(-0.06932449-0.0626564j)
5,6006500000.0,(-0.07740784-0.05292511j)
6,6007800000.0,(-0.08399963-0.04243469j)
7,6009100000.0,(-0.08940125-0.03065491j)
8,6010400000.0,(-0.09359741-0.01885986j)
9,6011700000.0,(-0.09596252-0.006462097j)
10,6013000000.0,(-0.09609985+0.00697327j)
11,6014300000.0,(-0.09477997+0.02063751j)
12,6015600000.0,(-0.09133148+0.03366852j)
13,6016900000.0,(-0.08673859+0.04607391j)
14,6018200000.0,(-0.08029938+0.05748749j)
15,6019500000.0,(-0.07190704+0.06852722j)
16,6020800000.0,(-0.06118774+0.07775879j)
17,6022100000.0,(-0.04950714+0.08587646j)
18,6023400000.0,(-0.03753662+0.0930481j)
19,6024700000.0,(-0.02508545+0.09778595j)
20,6026000000.0,(-0.0109024+0.09979248j)
21,6027300000.0,(0.00302887+0.09957123j)
22,6028600000.0,(0.01678467+0.09876251j)
23,6029900000.0,(0.0306778+0.09494781j)
24,6031200000.0,(0.0437851+0.08996582j)
25,6032500000.0,(0.05583191+0.08374023j)
26,6033800000.0,(0.06719971+0.07491302j)
27,6035100000.0,(0.07635498+0.06477356j)
28,6036400000.0,(0.08466339+0.05368805j)
29,6037700000.0,(0.09123993+0.0412674j)
30,6039000000.0,(0.09598541+0.02863312j)
31,6040300000.0,(0.09880066+0.01480865j)
32,6041600000.0,(0.09978485+0.00077057j)
33,6042900000.0,(0.09889221-0.01259613j)
34,6044200000.0,(0.09549713-0.02603149j)
35,6045500000.0,(0.09181213-0.03889465j)
36,6046800000.0,(0.08572388-0.05012512j)
37,6048100000.0,(0.07772827-0.06141663j)
38,6049400000.0,(0.06821442-0.07137299j)
39,6050700000.0,(0.05828094-0.0803299j)
40,6052000000.0,(0.04632568-0.08760071j)
41,6053300000.0,(0.03419495-0.09213257j)
42,6054600000.0,(0.02139282-0.09670258j)
43,6055900000.0,(0.00873566-0.09824371j)
44,6057200000.0,(-0.005149841-0.09895325j)
45,6058500000.0,(-0.01847839-0.09690857j)
46,6059800000.0,(-0.03121948-0.09353638j)
47,6061100000.0,(-0.04374695-0.08937836j)
48,6062400000.0,(-0.05529022-0.08175659j)
49,6063700000.0,(-0.06600952-0.0738678j)
50,6065000000.0,(-0.07558441-0.06450653j)
51,6066300000.0,(-0.08343506-0.05345154j)
52,6067600000.0,(-0.09012604-0.04208374j)
53,6068900000.0,(-0.09515381-0.02899933j)
