,Freq (Hz),Complex (decimal)
0,80000000.0,(0.0002616495+9.26107e-05j)
1,81200000.0,(0.0001586378+0.0001530498j)
2,82400000.0,(0.0001412556+0.0001510233j)
3,83600000.0,(0.0001634508+0.0001910031j)
4,84800000.0,(0.0001394898+0.000119105j)
5,86000000.0,(0.0001349896+0.0001273379j)
6,87200000.0,(0.0002463013+0.0001138747j)
7,88400000.0,(0.0002616048+1.48565e-05j)
8,89600000.0,(0.0001924783+4.87119e-05j)
9,90800000.0,(0.0002293587-4.401803e-05j)
10,92000000.0,(0.0002188236-5.736947e-05j)
11,93200000.0,(0.0001635104-4.547834e-05j)
12,94400000.0,(0.0002057999-9.351969e-05j)
13,95600000.0,(0.0002196878-9.474158e-05j)
14,96800000.0,(0.0003155172-0.0001402497j)
15,98000000.0,(0.0001151562-0.0001681447j)
16,99200000.0,(0.0001659095-0.0001641065j)
17,100400000.0,(0.0001393259-0.0002384037j)
18,101600000.0,(7.37011e-05-0.0001948774j)
19,102800000.0,(0.0001726747-0.0002414435j)
20,104000000.0,(5.73397e-05-0.0002617091j)
21,105200000.0,(1.9968e-06-0.000323683j)
22,106400000.0,(-3.036857e-05-0.0002707839j)
23,107600000.0,(-3.299117e-05-0.0003984869j)
24,108800000.0,(-5.838275e-05-0.0003155768j)
25,110000000.0,(-7.590652e-05-0.0003426373j)
26,111200000.0,(-9.946525e-05-0.0002472699j)
27,112400000.0,(-0.0001569092-0.0003123879j)
28,113600000.0,(-0.0002332032-0.0002665222j)
29,114800000.0,(-0.0002126098-0.0002422705j)
30,116000000.0,(-0.0003954917-0.0001055151j)
31,117200000.0,(-0.0003373623-0.0002116412j)
32,118400000.0,(-0.0003782958-0.0001140535j)
33,119600000.0,(-0.0003570616-1.490116e-07j)
34,120800000.0,(-0.0004069805+2.15918e-05j)
35,122000000.0,(-0.0003882498-4.23193e-05j)
36,123200000.0,(-0.000411272+8.04961e-05j)
37,124400000.0,(-0.0003317893+0.0002121031j)
38,125600000.0,(-0.0003259182+0.0001497269j)
39,126800000.0,(-0.0003911406+0.0003029257j)
40,128000000.0,(-0.0003527254+0.0002944618j)
41,129200000.0,(-0.0002996773+0.0003587604j)
42,130400000.0,(-0.000217095+0.0003964007j)
43,131600000.0,(-0.0002092421+0.0003943145j)
44,132800000.0,(-0.0001438558+0.0003550947j)
45,134000000.0,(-0.0001218617+0.0004711449j)
46,135200000.0,(-2.56896e-05+0.0004920363j)
47,136400000.0,(1.06692e-05+0.0004815459j)
48,137600000.0,(5.79357e-05+0.0005132556j)
49,138800000.0,(0.0001140535+0.000472039j)
50,140000000.0,(0.0001682937+0.0004996955j)
51,141200000.0,(0.0002634823+0.0004337728j)
52,142400000.0,(0.000344798+0.0004044473j)
53,143600000.0,(0.0004057884+0.000407964j)
54,144800000.0,(0.0003721565+0.0003206283j)
55,146000000.0,(0.0003900975+0.0002891272j)
56,147200000.0,(0.0004957318+0.0002172887j)
57,148400000.0,(0.0004805028+0.000213474j)
58,149600000.0,(0.0005812645+4.69089e-05j)
59,150800000.0,(0.0005793571+1.91927e-05j)
60,152000000.0,(0.0005907118-5.555153e-05j)
61,153200000.0,(0.0005975366-0.0001318455j)
62,154400000.0,(0.0005344152-0.0002464652j)
63,155600000.0,(0.0005633831-0.0002631247j)
64,156800000.0,(0.0005308986-0.0003623664j)
65,158000000.0,(0.0004817247-0.000389576j)
66,159200000.0,(0.0004489124-0.0005374253j)
67,160400000.0,(0.0004223585-0.0005118847j)
68,161600000.0,(0.0003342032-0.0005933642j)
69,162800000.0,(0.000174582-0.000608474j)
70,164000000.0,(0.0001969934-0.0006956458j)
71,165200000.0,(4.6581e-05-0.0006532669j)
72,166400000.0,(-5.576015e-05-0.0007081926j)
73,167600000.0,(-0.0001198649-0.0007484257j)
74,168800000.0,(-0.0002406836-0.0006676018j)
75,170000000.0,(-0.0003178418-0.0006625652j)
76,171200000.0,(-0.0003970861-0.0006300509j)
77,172400000.0,(-0.0004947484-0.0005733371j)
78,173600000.0,(-0.0006009638-0.0004865825j)
79,174800000.0,(-0.0006244481-0.0004823506j)
80,176000000.0,(-0.0007180572-0.0003121197j)
81,177200000.0,(-0.0007226169-0.0002879202j)
82,178400000.0,(-0.000813663-0.0002143979j)
83,179600000.0,(-0.0007823706-7.814169e-05j)
84,180800000.0,(-0.0007668138-3.117323e-05j)
85,182000000.0,(-0.0008281469+0.0001064539j)
86,183200000.0,(-0.0007985234+0.000177145j)
87,184400000.0,(-0.0008193851+0.000352025j)
88,185600000.0,(-0.0007646084+0.0003874302j)
89,186800000.0,(-0.0007047653+0.0005848408j)
90,188000000.0,(-0.0006681681+0.0006211996j)
91,189200000.0,(-0.0005888045+0.0006617606j)
92,190400000.0,(-0.0004326105+0.0007708669j)
93,191600000.0,(-0.0003678799+0.0008392334j)
94,192800000.0,(-0.000336647+0.0009133816j)
95,194000000.0,(-0.0001689792+0.0008971095j)
96,195200000.0,(-0.0001289248+0.0009509921j)
97,196400000.0,(3.01003e-05+0.0009711385j)
98,197600000.0,(0.0002164245+0.0009815097j)
99,198800000.0,(0.0003429055+0.0009453893j)
100,200000000.0,(0.0004351735+0.0008795261j)
101,201200000.0,(0.0004944801+0.0008384585j)
102,202400000.0,(0.0006435513+0.0007234216j)
103,203600000.0,(0.0007382631+0.0006722212j)
104,204800000.0,(0.0008927584+0.0005876422j)
105,206000000.0,(0.0009733438+0.000513494j)
106,207200000.0,(0.001044929+0.0003783703j)
107,208400000.0,(0.001102269+0.0001918077j)
108,209600000.0,(0.00107795+4.73261e-05j)
109,210800000.0,(0.001123965-7.045269e-05j)
110,212000000.0,(0.001130581-0.0002055168j)
111,213200000.0,(0.001114488-0.0004223585j)
112,214400000.0,(0.001070082-0.000508666j)
113,215600000.0,(0.000933826-0.0006466508j)
114,216800000.0,(0.0008878112-0.0007506013j)
115,218000000.0,(0.0007827878-0.0008766651j)
116,219200000.0,(0.0006616712-0.0009282231j)
117,220400000.0,(0.0006061792-0.001002491j)
118,221600000.0,(0.0003532171-0.001125097j)
119,222800000.0,(0.0002760887-0.00119561j)
120,224000000.0,(0.0002231598-0.001175344j)
121,225200000.0,(-2.145767e-06-0.001123607j)
122,226400000.0,(-0.0002179742-0.001209855j)
123,227600000.0,(-0.0002883077-0.001178145j)
124,228800000.0,(-0.0004494786-0.001143217j)
125,230000000.0,(-0.0005128384-0.001042962j)
126,231200000.0,(-0.000703752-0.0009713769j)
127,232400000.0,(-0.0007582903-0.0009601116j)
128,233600000.0,(-0.0009809732-0.0008060336j)
129,234800000.0,(-0.00103569-0.0006599426j)
130,236000000.0,(-0.001141667-0.0006000996j)
131,237200000.0,(-0.001195908-0.0004771948j)
132,238400000.0,(-0.00124836-0.0002843142j)
133,239600000.0,(-0.001331031-4.655123e-05j)
134,240800000.0,(-0.001334667+3.60012e-05j)
135,242000000.0,(-0.001341879+0.0002540946j)
136,243200000.0,(-0.001343369+0.0003831983j)
137,244400000.0,(-0.001251101+0.0006162524j)
138,245600000.0,(-0.001166165+0.0008150339j)
139,246800000.0,(-0.001123607+0.0009435415j)
140,248000000.0,(-0.0009694695+0.001079381j)
141,249200000.0,(-0.0008630157+0.001249909j)
142,250400000.0,(-0.0007343292+0.001348078j)
143,251600000.0,(-0.0004740953+0.001396596j)
144,252800000.0,(-0.00026232+0.00147748j)
145,254000000.0,(-0.0001391172+0.001488447j)
146,255200000.0,(8.08239e-05+0.001565039j)
147,256400000.0,(0.0002408028+0.001485348j)
148,257600000.0,(0.0004712939+0.001436889j)
149,258800000.0,(0.0006560087+0.001387894j)
150,260000000.0,(0.000849247+0.00129354j)
151,261200000.0,(0.0009580851+0.001128674j)
152,262400000.0,(0.001087189+0.001047969j)
153,263600000.0,(0.00128752+0.0009370446j)
154,264800000.0,(0.001372039+0.0007740259j)
155,266000000.0,(0.001448095+0.000520885j)
156,267200000.0,(0.001526654+0.0003843307j)
157,268400000.0,(0.001550853+0.0002174973j)
158,269600000.0,(0.001606941-8.833408e-05j)
159,270800000.0,(0.001601219-0.0002015829j)
160,272000000.0,(0.001560211-0.0003429651j)
161,273200000.0,(0.001512706-0.0005818009j)
162,274400000.0,(0.001363218-0.0008020401j)
163,275600000.0,(0.00133121-0.001015425j)
164,276800000.0,(0.00124234-0.001070738j)
165,278000000.0,(0.001038373-0.001206338j)
166,279200000.0,(0.000975728-0.001446128j)
167,280400000.0,(0.0007122755-0.001553297j)
168,281600000.0,(0.0006055236-0.001630187j)
169,282800000.0,(0.0004154444-0.001763344j)
170,284000000.0,(0.0001318455-0.00180912j)
171,285200000.0,(-2.145767e-05-0.001811862j)
172,286400000.0,(-0.0003163815-0.001768231j)
173,287600000.0,(-0.0005553961-0.00176084j)
174,288800000.0,(-0.0008254051-0.001724482j)
175,290000000.0,(-0.0009858608-0.001554191j)
176,291200000.0,(-0.001139224-0.001421571j)
177,292400000.0,(-0.001369953-0.001299322j)
178,293600000.0,(-0.001583874-0.001181185j)
179,294800000.0,(-0.001768231-0.0008690357j)
180,296000000.0,(-0.001821041-0.000705719j)
181,297200000.0,(-0.001908898-0.0004703999j)
182,298400000.0,(-0.001975417-0.00020504j)
183,299600000.0,(-0.002007008+7.0691e-05j)
