,Freq (Hz),Complex (decimal)
0,4000000000.0,(-0.001716614+0.07226944j)
1,4001300000.0,(0.00843811+0.07207108j)
2,4002600000.0,(0.01838684+0.06973648j)
3,4003900000.0,(0.02836227+0.06660461j)
4,4005200000.0,(0.03720856+0.06213379j)
5,4006500000.0,(0.04574585+0.05598068j)
6,4007800000.0,(0.05286789+0.04889679j)
7,4009100000.0,(0.05886459+0.04074478j)
8,4010400000.0,(0.0637207+0.0320549j)
9,4011700000.0,(0.06718063+0.02257919j)
10,4013000000.0,(0.06902313+0.0130806j)
11,4014300000.0,(0.06917953+0.00312424j)
12,4015600000.0,(0.06760788-0.006607056j)
13,4016900000.0,(0.06264496-0.01354218j)
14,4018200000.0,(0.0655899-0.01335526j)
15,4019500000.0,(0.06669235-0.02870178j)
16,4020800000.0,(0.06056595-0.03920364j)
17,4022100000.0,(0.05463028-0.04740143j)
18,4023400000.0,(0.04678917-0.05424118j)
19,4024700000.0,(0.03866577-0.06066132j)
20,4026000000.0,(0.03004456-0.06494141j)
21,4027300000.0,(0.02126694-0.06845856j)
22,4028600000.0,(0.01154709-0.07078934j)
23,4029900000.0,(0.00187683-0.07162857j)
24,4031200000.0,(-0.007411957-0.07092285j)
25,4032500000.0,(-0.01747131-0.06996155j)
26,4033800000.0,(-0.0266571-0.06677246j)
27,4035100000.0,(-0.03575134-0.06258774j)
28,4036400000.0,(-0.0438652-0.05760574j)
29,4037700000.0,(-0.05136681-0.05113411j)
30,4039000000.0,(-0.0581131-0.04417801j)
31,4040300000.0,(-0.06360626-0.03568268j)
32,4041600000.0,(-0.0684166-0.0267601j)
33,4042900000.0,(-0.07189941-0.01751328j)
34,4044200000.0,(-0.07349777-0.007358551j)
35,4045500000.0,(-0.07433319+0.00289536j)
36,4046800000.0,(-0.07341766+0.01304245j)
37,4048100000.0,(-0.07073593+0.02350998j)
38,4049400000.0,(-0.06723785+0.03367233j)
39,4050700000.0,(-0.06206512+0.04296494j)
40,4052000000.0,(-0.05541611+0.05123901j)
41,4053300000.0,(-0.04717255+0.05848312j)
42,4054600000.0,(-0.03831863+0.0643158j)
43,4055900000.0,(-0.02955627+0.06910324j)
44,4057200000.0,(-0.01914215+0.07278061j)
45,4058500000.0,(-0.008441925+0.0735321j)
46,4059800000.0,(0.00122833+0.0745163j)
47,4061100000.0,(0.01115799+0.07327271j)
48,4062400000.0,(0.02168655+0.07083893j)
49,4063700000.0,(0.03113556+0.06699371j)
50,4065000000.0,(0.03985596+0.06204224j)
51,4066300000.0,(0.04781151+0.05578041j)
52,4067600000.0,(0.05494118+0.04872704j)
53,4068900000.0,(0.06070709+0.0406723j)
54,4070200000.0,(0.06546021+0.03200531j)
55,4071500000.0,(0.06878281+0.022892j)
56,4072800000.0,(0.07112503+0.01300812j)
57,4074100000.0,(0.07188797+0.0037384j)
58,4075400000.0,(0.07152176-0.00623703j)
59,4076700000.0,(0.06987762-0.01548004j)
60,4078000000.0,(0.06718826-0.02396393j)
61,4079300000.0,(0.06340408-0.03278732j)
62,4080600000.0,(0.05914688-0.04060364j)
63,4081900000.0,(0.05364799-0.04880333j)
64,4083200000.0,(0.04691315-0.05558395j)
65,4084500000.0,(0.03915024-0.06219101j)
66,4085800000.0,(0.03042221-0.06700516j)
67,4087100000.0,(0.02082443-0.07090759j)
68,4088400000.0,(0.010746-0.07287979j)
69,4089700000.0,(0.00078201-0.07421112j)
70,4091000000.0,(-0.009223938-0.07320404j)
71,4092300000.0,(-0.01939392-0.07151794j)
72,4093600000.0,(-0.02950668-0.06816101j)
73,4094900000.0,(-0.03844452-0.06359482j)
74,4096200000.0,(-0.0467186-0.05804443j)
75,4097500000.0,(-0.05407333-0.05060959j)
76,4098800000.0,(-0.06058884-0.04305267j)
77,4100100000.0,(-0.06574249-0.03423309j)
78,4101400000.0,(-0.0700531-0.02530289j)
79,4102700000.0,(-0.07295609-0.01556778j)
80,4104000000.0,(-0.07445145-0.005935669j)
81,4105300000.0,(-0.07461548+0.00426102j)
82,4106600000.0,(-0.07369232+0.01461792j)
83,4107900000.0,(-0.07087708+0.02508545j)
84,4109200000.0,(-0.06713486+0.03440094j)
85,4110500000.0,(-0.06176376+0.0437355j)
86,4111800000.0,(-0.05540276+0.05147934j)
87,4113100000.0,(-0.04795074+0.05912018j)
88,4114400000.0,(-0.04025269+0.06414795j)
89,4115700000.0,(-0.03051758+0.06965256j)
90,4117000000.0,(-0.0202713+0.07332611j)
91,4118300000.0,(-0.01052094+0.07519913j)
92,4119600000.0,(-0.0003128052+0.07614517j)
93,4120900000.0,(0.01026154+0.07585526j)
94,4122200000.0,(0.01985931+0.07403183j)
95,4123500000.0,(0.03013992+0.07067108j)
96,4124800000.0,(0.03963852+0.06605148j)
97,4126100000.0,(0.04870987+0.06028748j)
98,4127400000.0,(0.05650711+0.05273056j)
99,4128700000.0,(0.06340408+0.04476166j)
100,4130000000.0,(0.06923294+0.03568268j)
101,4131300000.0,(0.07382202+0.02616501j)
102,4132600000.0,(0.07684708+0.01565933j)
103,4133900000.0,(0.07831955+0.00453949j)
104,4135200000.0,(0.07817459-0.005817413j)
105,4136500000.0,(0.07700348-0.01631927j)
106,4137800000.0,(0.07477188-0.02722549j)
107,4139100000.0,(0.07085037-0.03739929j)
108,4140400000.0,(0.06523132-0.04718018j)
109,4141700000.0,(0.05731583-0.05619812j)
110,4143000000.0,(0.05004501-0.06407547j)
111,4144300000.0,(0.04004288-0.06980133j)
112,4145600000.0,(0.02975845-0.07590485j)
113,4146900000.0,(0.01858521-0.07922363j)
114,4148200000.0,(0.00720596-0.08133698j)
115,4149500000.0,(-0.004421234-0.08155823j)
116,4150800000.0,(-0.01618958-0.07972717j)
117,4152100000.0,(-0.02714157-0.07666779j)
118,4153400000.0,(-0.03789902-0.07181168j)
119,4154700000.0,(-0.04730988-0.0658493j)
120,4156000000.0,(-0.05586624-0.05799484j)
121,4157300000.0,(-0.06361771-0.04924393j)
122,4158600000.0,(-0.06925201-0.03991699j)
123,4159900000.0,(-0.07388306-0.02943802j)
124,4161200000.0,(-0.07672119-0.01888657j)
125,4162500000.0,(-0.07832336-0.008312225j)
126,4163800000.0,(-0.078228+0.00287247j)
127,4165100000.0,(-0.07683945+0.01330948j)
128,4166400000.0,(-0.07361984+0.02378464j)
129,4167700000.0,(-0.07020187+0.03343582j)
130,4169000000.0,(-0.06383896+0.04204178j)
