,Freq (Hz),Complex (decimal)
0,2940000000.0,(0.0384655+0.02854919j)
1,2940700000.0,(0.04031754+0.02573776j)
2,2941400000.0,(0.04198074+0.02294731j)
3,2942100000.0,(0.04346466+0.01986694j)
4,2942800000.0,(0.04495621+0.01662445j)
5,2943500000.0,(0.04638481+0.01368713j)
6,2944200000.0,(0.04707336+0.0102253j)
7,2944900000.0,(0.04775238+0.00698662j)
8,2945600000.0,(0.04821205+0.00355911j)
9,2946300000.0,(0.0485363-0.0002479553j)
10,2947000000.0,(0.04880905-0.003568649j)
11,2947700000.0,(0.04859734-0.007003784j)
12,2948400000.0,(0.04832458-0.01021004j)
13,2949100000.0,(0.04745865-0.01370239j)
14,2949800000.0,(0.04654884-0.01752663j)
15,2950500000.0,(0.04553795-0.02092171j)
16,2951200000.0,(0.04405403-0.0237999j)
17,2951900000.0,(0.04225349-0.02720642j)
18,2952600000.0,(0.04065704-0.03011322j)
19,2953300000.0,(0.0384655-0.03308868j)
20,2954000000.0,(0.03611374-0.03632355j)
21,2954700000.0,(0.03304672-0.03904343j)
22,2955400000.0,(0.03021622-0.04184532j)
23,2956100000.0,(0.027771-0.04409981j)
24,2956800000.0,(0.02413177-0.0462532j)
25,2957500000.0,(0.02075005-0.04811859j)
26,2958200000.0,(0.01685333-0.0496788j)
27,2958900000.0,(0.01314163-0.05082321j)
28,2959600000.0,(0.00922394-0.05238724j)
29,2960300000.0,(0.00552368-0.05286026j)
30,2961000000.0,(0.00111008-0.05317307j)
31,2961700000.0,(-0.002979279-0.05345535j)
32,2962400000.0,(-0.007202148-0.0531311j)
33,2963100000.0,(-0.01145554-0.05289459j)
34,2963800000.0,(-0.01533127-0.05212021j)
35,2964500000.0,(-0.0194397-0.05057144j)
36,2965200000.0,(-0.02319336-0.04921722j)
37,2965900000.0,(-0.02710342-0.04716492j)
38,2966600000.0,(-0.03087044-0.04515457j)
39,2967300000.0,(-0.03440666-0.04289818j)
40,2968000000.0,(-0.03788185-0.03978348j)
41,2968700000.0,(-0.04077721-0.03680611j)
42,2969400000.0,(-0.04355049-0.03349113j)
43,2970100000.0,(-0.04591751-0.02991486j)
44,2970800000.0,(-0.04796791-0.02629471j)
45,2971500000.0,(-0.05003357-0.02260971j)
46,2972200000.0,(-0.05143738-0.01848221j)
47,2972900000.0,(-0.05264664-0.01438141j)
48,2973600000.0,(-0.0536499-0.01028442j)
49,2974300000.0,(-0.05424118-0.005954742j)
50,2975000000.0,(-0.0544014-0.001781464j)
51,2975700000.0,(-0.0541954+0.00247955j)
52,2976400000.0,(-0.05348206+0.00652695j)
53,2977100000.0,(-0.05313873+0.01060867j)
54,2977800000.0,(-0.05168533+0.01489258j)
55,2978500000.0,(-0.05049133+0.01849365j)
56,2979200000.0,(-0.04841232+0.02196312j)
57,2979900000.0,(-0.04655647+0.02541542j)
58,2980600000.0,(-0.04419136+0.02903366j)
59,2981300000.0,(-0.04224014+0.03202057j)
60,2982000000.0,(-0.03918076+0.03524399j)
61,2982700000.0,(-0.03675652+0.03806686j)
62,2983400000.0,(-0.03360748+0.04047203j)
63,2984100000.0,(-0.02971077+0.04227066j)
64,2984800000.0,(-0.02712059+0.0444355j)
65,2985500000.0,(-0.02340698+0.04601288j)
66,2986200000.0,(-0.02035713+0.04740143j)
