,Freq (Hz),Complex (decimal)
0,3550000000.0,(0.01111984-0.04929352j)
1,3550100000.0,(0.01159286-0.04937744j)
2,3550200000.0,(0.01094437-0.05052185j)
3,3550300000.0,(0.01050949-0.0497551j)
4,3550400000.0,(0.00992966-0.0495224j)
5,3550500000.0,(0.00912094-0.05007172j)
6,3550600000.0,(0.00825882-0.0500412j)
7,3550700000.0,(0.00775528-0.05012131j)
8,3550800000.0,(0.00775528-0.04990005j)
9,3550900000.0,(0.00721359-0.05022049j)
10,3551000000.0,(0.00630188-0.05027008j)
11,3551100000.0,(0.00623703-0.0503006j)
12,3551200000.0,(0.00510406-0.05036163j)
13,3551300000.0,(0.00510788-0.05049515j)
14,3551400000.0,(0.0049057-0.05036545j)
15,3551500000.0,(0.00392914-0.05022049j)
16,3551600000.0,(0.00351715-0.05051804j)
17,3551700000.0,(0.00344849-0.05045319j)
18,3551800000.0,(0.00266266-0.05078506j)
19,3551900000.0,(0.00183487-0.05073929j)
20,3552000000.0,(0.00141907-0.05084229j)
21,3552100000.0,(0.00085449-0.05080032j)
22,3552200000.0,(0.00037766-0.05052567j)
23,3552300000.0,(-7.247925e-05-0.0506134j)
24,3552400000.0,(-0.0002593994-0.05071259j)
25,3552500000.0,(-0.0008468628-0.05036926j)
26,3552600000.0,(-0.002017975-0.05085754j)
27,3552700000.0,(-0.002433777-0.05083084j)
28,3552800000.0,(-0.002914429-0.05075455j)
29,3552900000.0,(-0.002937317-0.05037308j)
30,3553000000.0,(-0.003772736-0.05050278j)
31,3553100000.0,(-0.00428009-0.05069733j)
32,3553200000.0,(-0.004589081-0.05062103j)
33,3553300000.0,(-0.005218506-0.05073166j)
34,3553400000.0,(-0.005432129-0.0502739j)
35,3553500000.0,(-0.006134033-0.05043793j)
36,3553600000.0,(-0.00655365-0.05031967j)
37,3553700000.0,(-0.007499695-0.04981613j)
38,3553800000.0,(-0.007770538-0.05006409j)
39,3553900000.0,(-0.008029938-0.04989243j)
40,3554000000.0,(-0.00868988-0.04972458j)
41,3554100000.0,(-0.009490967-0.04987717j)
42,3554200000.0,(-0.01024246-0.05012894j)
43,3554300000.0,(-0.0100174-0.04964066j)
44,3554400000.0,(-0.01084137-0.04971695j)
45,3554500000.0,(-0.01131821-0.04946136j)
46,3554600000.0,(-0.01200104-0.04938126j)
47,3554700000.0,(-0.01205063-0.04930496j)
48,3554800000.0,(-0.01283264-0.04923248j)
49,3554900000.0,(-0.01299286-0.04881287j)
50,3555000000.0,(-0.01369095-0.04867172j)
51,3555100000.0,(-0.01441193-0.04850388j)
52,3555200000.0,(-0.01473999-0.04810333j)
53,3555300000.0,(-0.0149765-0.04826736j)
54,3555400000.0,(-0.015625-0.04804611j)
55,3555500000.0,(-0.01620102-0.04802704j)
56,3555600000.0,(-0.01711655-0.04760361j)
57,3555700000.0,(-0.01708603-0.04762268j)
58,3555800000.0,(-0.01753235-0.04753113j)
59,3555900000.0,(-0.01789856-0.04724121j)
60,3556000000.0,(-0.01861954-0.04676819j)
61,3556100000.0,(-0.01914215-0.046875j)
62,3556200000.0,(-0.01977539-0.0466156j)
63,3556300000.0,(-0.01992798-0.04665375j)
64,3556400000.0,(-0.02071762-0.04623413j)
65,3556500000.0,(-0.02091217-0.04608154j)
66,3556600000.0,(-0.02150345-0.04589081j)
67,3556700000.0,(-0.0218544-0.04558563j)
68,3556800000.0,(-0.02262878-0.04539871j)
69,3556900000.0,(-0.02286911-0.04524994j)
70,3557000000.0,(-0.02323532-0.0451889j)
71,3557100000.0,(-0.02393341-0.04460144j)
72,3557200000.0,(-0.02429199-0.04459381j)
73,3557300000.0,(-0.02454376-0.04411316j)
74,3557400000.0,(-0.02530289-0.04408264j)
75,3557500000.0,(-0.02576065-0.04391479j)
76,3557600000.0,(-0.0261631-0.04362106j)
77,3557700000.0,(-0.02643394-0.04337883j)
78,3557800000.0,(-0.02709961-0.04278374j)
79,3557900000.0,(-0.0273304-0.04242325j)
80,3558000000.0,(-0.02804565-0.04227257j)
81,3558100000.0,(-0.02828979-0.04221153j)
82,3558200000.0,(-0.02879524-0.04178238j)
83,3558300000.0,(-0.02898407-0.0416584j)
84,3558400000.0,(-0.02970505-0.04123306j)
85,3558500000.0,(-0.02979851-0.04064941j)
86,3558600000.0,(-0.0302372-0.04053879j)
87,3558700000.0,(-0.03074837-0.04027367j)
88,3558800000.0,(-0.03123093-0.04026794j)
89,3558900000.0,(-0.03163338-0.03975487j)
90,3559000000.0,(-0.03207207-0.03951263j)
91,3559100000.0,(-0.03261566-0.03910255j)
92,3559200000.0,(-0.03309441-0.03863335j)
93,3559300000.0,(-0.03337097-0.03833771j)
94,3559400000.0,(-0.0335331-0.03788948j)
95,3559500000.0,(-0.03395462-0.03765297j)
96,3559600000.0,(-0.03431892-0.03726768j)
97,3559700000.0,(-0.03476524-0.03694344j)
98,3559800000.0,(-0.0352211-0.03668213j)
99,3559900000.0,(-0.03531456-0.03649902j)
100,3560000000.0,(-0.03578568-0.03596497j)
101,3560100000.0,(-0.03632355-0.03554726j)
102,3560200000.0,(-0.03672028-0.03509521j)
103,3560300000.0,(-0.03689575-0.03491402j)
104,3560400000.0,(-0.03733635-0.034338j)
