,Freq (Hz),Complex (decimal)
0,3550000000.0,(0.02352905-0.04789352j)
1,3550100000.0,(0.02292633-0.04844666j)
2,3550200000.0,(0.0222168-0.04837799j)
3,3550300000.0,(0.02166748-0.04885864j)
4,3550400000.0,(0.02090073-0.04907227j)
5,3550500000.0,(0.02085876-0.04913712j)
6,3550600000.0,(0.02056885-0.04915237j)
7,3550700000.0,(0.02017975-0.04958344j)
8,3550800000.0,(0.01963806-0.04948425j)
9,3550900000.0,(0.01903152-0.05031967j)
10,3551000000.0,(0.01836395-0.05007553j)
11,3551100000.0,(0.01799774-0.04983521j)
12,3551200000.0,(0.01755524-0.05071259j)
13,3551300000.0,(0.016819-0.05042648j)
14,3551400000.0,(0.0164566-0.05062103j)
15,3551500000.0,(0.015625-0.05094528j)
16,3551600000.0,(0.01531982-0.05095673j)
17,3551700000.0,(0.01454544-0.05118942j)
18,3551800000.0,(0.0141449-0.05092239j)
19,3551900000.0,(0.0133934-0.05143356j)
20,3552000000.0,(0.01295471-0.05194855j)
21,3552100000.0,(0.01294327-0.0518837j)
22,3552200000.0,(0.01226044-0.05202484j)
23,3552300000.0,(0.01169968-0.05237961j)
24,3552400000.0,(0.01126862-0.05172729j)
25,3552500000.0,(0.01033401-0.05217743j)
26,3552600000.0,(0.00983429-0.05192947j)
27,3552700000.0,(0.00954819-0.05237198j)
28,3552800000.0,(0.00881195-0.05253983j)
29,3552900000.0,(0.00804901-0.05250931j)
30,3553000000.0,(0.00783157-0.05268478j)
31,3553100000.0,(0.00718307-0.05301666j)
32,3553200000.0,(0.00622559-0.05287933j)
33,3553300000.0,(0.00619125-0.05290604j)
34,3553400000.0,(0.00577927-0.0527916j)
35,3553500000.0,(0.00504303-0.05302048j)
36,3553600000.0,(0.00494766-0.05276871j)
37,3553700000.0,(0.00387955-0.05277252j)
38,3553800000.0,(0.00365067-0.05297089j)
39,3553900000.0,(0.00257874-0.05318832j)
40,3554000000.0,(0.00244522-0.05289841j)
41,3554100000.0,(0.00179291-0.05263138j)
42,3554200000.0,(0.00124741-0.05317307j)
43,3554300000.0,(0.00093842-0.05276871j)
44,3554400000.0,(0.00033188-0.05308151j)
45,3554500000.0,(-0.0002250671-0.0528717j)
46,3554600000.0,(-0.001068115-0.05311203j)
47,3554700000.0,(-0.001300812-0.052845j)
48,3554800000.0,(-0.00195694-0.05307007j)
49,3554900000.0,(-0.002567291-0.05274582j)
50,3555000000.0,(-0.002960205-0.05307007j)
51,3555100000.0,(-0.003559113-0.05257797j)
52,3555200000.0,(-0.004348755-0.05302811j)
53,3555300000.0,(-0.004573822-0.05274963j)
54,3555400000.0,(-0.005012512-0.0525856j)
55,3555500000.0,(-0.005439758-0.05295181j)
56,3555600000.0,(-0.006092072-0.05252457j)
57,3555700000.0,(-0.006946564-0.05237579j)
58,3555800000.0,(-0.007320404-0.05257797j)
59,3555900000.0,(-0.007938385-0.05244827j)
60,3556000000.0,(-0.008274078-0.05229568j)
61,3556100000.0,(-0.009002686-0.05228424j)
62,3556200000.0,(-0.009334564-0.05199432j)
63,3556300000.0,(-0.01012039-0.05177689j)
64,3556400000.0,(-0.01053238-0.05177307j)
65,3556500000.0,(-0.01099014-0.05187607j)
66,3556600000.0,(-0.01170349-0.05166245j)
67,3556700000.0,(-0.01182556-0.05157089j)
68,3556800000.0,(-0.01265717-0.05173111j)
69,3556900000.0,(-0.01298141-0.05121231j)
70,3557000000.0,(-0.01383591-0.05147934j)
71,3557100000.0,(-0.01422501-0.05104446j)
72,3557200000.0,(-0.01444626-0.05104828j)
73,3557300000.0,(-0.0152626-0.05083466j)
74,3557400000.0,(-0.01613235-0.0504837j)
75,3557500000.0,(-0.01638031-0.05031967j)
76,3557600000.0,(-0.01648331-0.05023193j)
77,3557700000.0,(-0.01744461-0.05018234j)
78,3557800000.0,(-0.01776505-0.04968643j)
79,3557900000.0,(-0.01809692-0.04981995j)
80,3558000000.0,(-0.01881027-0.04960632j)
81,3558100000.0,(-0.01948166-0.04960251j)
82,3558200000.0,(-0.02002716-0.04925156j)
83,3558300000.0,(-0.0202179-0.04903412j)
84,3558400000.0,(-0.0209198-0.04877472j)
85,3558500000.0,(-0.02139282-0.04855347j)
86,3558600000.0,(-0.02148438-0.04817581j)
87,3558700000.0,(-0.02235794-0.0482254j)
88,3558800000.0,(-0.02253342-0.04825592j)
89,3558900000.0,(-0.02331161-0.04757309j)
90,3559000000.0,(-0.02380753-0.04721832j)
91,3559100000.0,(-0.02419662-0.04728317j)
92,3559200000.0,(-0.0248909-0.04687881j)
93,3559300000.0,(-0.02512741-0.04683304j)
94,3559400000.0,(-0.02589035-0.0465126j)
95,3559500000.0,(-0.02622604-0.04592133j)
96,3559600000.0,(-0.02672577-0.04585266j)
97,3559700000.0,(-0.02729034-0.04566956j)
98,3559800000.0,(-0.02748489-0.04538345j)
99,3559900000.0,(-0.0279274-0.0452919j)
100,3560000000.0,(-0.02859879-0.04484177j)
101,3560100000.0,(-0.02891159-0.04468918j)
102,3560200000.0,(-0.02975845-0.04417801j)
103,3560300000.0,(-0.03004074-0.04425049j)
104,3560400000.0,(-0.0301609-0.04384422j)
105,3560500000.0,(-0.03073692-0.04337883j)
106,3560600000.0,(-0.0310688-0.04300308j)
107,3560700000.0,(-0.03148651-0.04232597j)
108,3560800000.0,(-0.03179169-0.04252052j)
109,3560900000.0,(-0.03274536-0.04219246j)
110,3561000000.0,(-0.03281975-0.04174232j)
111,3561100000.0,(-0.03340149-0.04147148j)
112,3561200000.0,(-0.03365326-0.04076958j)
113,3561300000.0,(-0.03414726-0.04063988j)
114,3561400000.0,(-0.03470039-0.04069519j)
115,3561500000.0,(-0.03507042-0.03998566j)
116,3561600000.0,(-0.03528404-0.03951836j)
117,3561700000.0,(-0.03574371-0.03936005j)
118,3561800000.0,(-0.03619003-0.03890991j)
119,3561900000.0,(-0.03669167-0.03850937j)
120,3562000000.0,(-0.03699112-0.03813362j)
121,3562100000.0,(-0.03760147-0.03783989j)
122,3562200000.0,(-0.03787994-0.03733444j)
123,3562300000.0,(-0.03809738-0.03700638j)
124,3562400000.0,(-0.03879547-0.0369072j)
125,3562500000.0,(-0.03899002-0.03615379j)
126,3562600000.0,(-0.03952789-0.03587723j)
127,3562700000.0,(-0.03978539-0.03541756j)
128,3562800000.0,(-0.04011917-0.03508949j)
129,3562900000.0,(-0.04032898-0.03455544j)
130,3563000000.0,(-0.04067993-0.03417015j)
131,3563100000.0,(-0.04125786-0.03376007j)
132,3563200000.0,(-0.04158783-0.03335381j)
133,3563300000.0,(-0.0420475-0.03319931j)
134,3563400000.0,(-0.04222488-0.03268433j)
135,3563500000.0,(-0.0424099-0.0320015j)
136,3563600000.0,(-0.04285812-0.03160667j)
137,3563700000.0,(-0.04309273-0.03121948j)
138,3563800000.0,(-0.04346657-0.03064919j)
139,3563900000.0,(-0.04389954-0.03041077j)
140,3564000000.0,(-0.04424667-0.02993774j)
141,3564100000.0,(-0.04452515-0.02921295j)
142,3564200000.0,(-0.04509735-0.02901077j)
143,3564300000.0,(-0.04507065-0.02860641j)
144,3564400000.0,(-0.04556656-0.02800751j)
145,3564500000.0,(-0.04565811-0.02763367j)
146,3564600000.0,(-0.04592896-0.02702332j)
147,3564700000.0,(-0.04633331-0.02662659j)
148,3564800000.0,(-0.04654312-0.0261879j)
149,3564900000.0,(-0.04691696-0.02573776j)
150,3565000000.0,(-0.04716873-0.02528763j)
151,3565100000.0,(-0.04749298-0.02481842j)
152,3565200000.0,(-0.04777145-0.02431107j)
153,3565300000.0,(-0.04794693-0.02383804j)
154,3565400000.0,(-0.04803848-0.02340317j)
155,3565500000.0,(-0.04832077-0.02280045j)
156,3565600000.0,(-0.04862976-0.02246475j)
157,3565700000.0,(-0.0488205-0.02180099j)
