,Freq (Hz),Complex (decimal)
0,3550000000.0,(0.01985931-0.04868317j)
1,3550100000.0,(0.02004242-0.04893494j)
2,3550200000.0,(0.01919556-0.04927444j)
3,3550300000.0,(0.01824188-0.04900742j)
4,3550400000.0,(0.01777649-0.04933548j)
5,3550500000.0,(0.01749039-0.04948044j)
6,3550600000.0,(0.01699066-0.04968262j)
7,3550700000.0,(0.01610565-0.05025101j)
8,3550800000.0,(0.01556778-0.05025101j)
9,3550900000.0,(0.01555252-0.05024719j)
10,3551000000.0,(0.01472473-0.05040359j)
11,3551100000.0,(0.01421356-0.05059052j)
12,3551200000.0,(0.01374817-0.05065155j)
13,3551300000.0,(0.01288223-0.05082321j)
14,3551400000.0,(0.01268768-0.05088043j)
15,3551500000.0,(0.01222229-0.05092621j)
16,3551600000.0,(0.01172256-0.05147934j)
17,3551700000.0,(0.01124191-0.05121231j)
18,3551800000.0,(0.01071548-0.05147552j)
19,3551900000.0,(0.0097847-0.05160141j)
20,3552000000.0,(0.00966644-0.05161667j)
21,3552100000.0,(0.00872803-0.05170059j)
22,3552200000.0,(0.00864792-0.05197906j)
23,3552300000.0,(0.00794601-0.05210495j)
24,3552400000.0,(0.00741577-0.05211258j)
25,3552500000.0,(0.00694275-0.05223465j)
26,3552600000.0,(0.00649261-0.05208588j)
27,3552700000.0,(0.0055542-0.05183411j)
28,3552800000.0,(0.00546646-0.05207825j)
29,3552900000.0,(0.00466537-0.05196762j)
30,3553000000.0,(0.00434113-0.05197525j)
31,3553100000.0,(0.00365067-0.05181503j)
32,3553200000.0,(0.00310898-0.05188751j)
33,3553300000.0,(0.00257874-0.05236053j)
34,3553400000.0,(0.0019989-0.05234909j)
35,3553500000.0,(0.0014267-0.05189896j)
36,3553600000.0,(0.0010376-0.05239868j)
37,3553700000.0,(0.00047684-0.05224228j)
38,3553800000.0,(1.144e-05-0.05260468j)
39,3553900000.0,(-0.0006217957-0.0520668j)
40,3554000000.0,(-0.001049042-0.05224228j)
41,3554100000.0,(-0.001987457-0.0524826j)
42,3554200000.0,(-0.001888275-0.05220032j)
43,3554300000.0,(-0.002365112-0.05237579j)
44,3554400000.0,(-0.003353119-0.05234146j)
45,3554500000.0,(-0.003494263-0.05207825j)
46,3554600000.0,(-0.004428864-0.05215836j)
47,3554700000.0,(-0.005084991-0.05229568j)
48,3554800000.0,(-0.005634308-0.05189133j)
49,3554900000.0,(-0.005706787-0.05208969j)
50,3555000000.0,(-0.006599426-0.05144501j)
51,3555100000.0,(-0.007080078-0.05143738j)
52,3555200000.0,(-0.007534027-0.05184937j)
53,3555300000.0,(-0.008075714-0.05149078j)
