,Freq (Hz),Complex (decimal)
0,3550000000.0,(0.00239944-0.04864502j)
1,3550100000.0,(0.00218582-0.04868698j)
2,3550200000.0,(0.00135803-0.04870224j)
3,3550300000.0,(0.00084305-0.04893875j)
4,3550400000.0,(0.00058746-0.04908371j)
5,3550500000.0,(-0.0002250671-0.04878616j)
6,3550600000.0,(-0.0005340576-0.04886627j)
7,3550700000.0,(-0.000957489-0.0490036j)
8,3550800000.0,(-0.001399994-0.04868698j)
9,3550900000.0,(-0.001823425-0.04888916j)
10,3551000000.0,(-0.002563477-0.04898834j)
11,3551100000.0,(-0.003044128-0.04839325j)
12,3551200000.0,(-0.003765106-0.04879761j)
13,3551300000.0,(-0.004131317-0.04859924j)
14,3551400000.0,(-0.004459381-0.04857254j)
15,3551500000.0,(-0.005111694-0.04856491j)
16,3551600000.0,(-0.005355835-0.04848862j)
17,3551700000.0,(-0.006137848-0.04837799j)
18,3551800000.0,(-0.006542206-0.04836273j)
19,3551900000.0,(-0.006904602-0.04807663j)
20,3552000000.0,(-0.007675171-0.04856491j)
21,3552100000.0,(-0.008514404-0.04802704j)
22,3552200000.0,(-0.008430481-0.04826355j)
23,3552300000.0,(-0.00876236-0.04782867j)
24,3552400000.0,(-0.009487152-0.04750443j)
25,3552500000.0,(-0.01007843-0.04795074j)
26,3552600000.0,(-0.01038742-0.0478363j)
27,3552700000.0,(-0.01098251-0.04771805j)
28,3552800000.0,(-0.01127243-0.04738998j)
29,3552900000.0,(-0.01166153-0.04727173j)
30,3553000000.0,(-0.01213074-0.0473671j)
31,3553100000.0,(-0.0128212-0.0472641j)
32,3553200000.0,(-0.01337433-0.04712296j)
33,3553300000.0,(-0.0134697-0.04723358j)
34,3553400000.0,(-0.01420212-0.04670334j)
35,3553500000.0,(-0.01487732-0.04675293j)
36,3553600000.0,(-0.0151329-0.04629135j)
37,3553700000.0,(-0.01564789-0.04636765j)
38,3553800000.0,(-0.0162468-0.04602051j)
39,3553900000.0,(-0.01654816-0.04605484j)
40,3554000000.0,(-0.01698303-0.04574585j)
41,3554100000.0,(-0.01742554-0.04570007j)
42,3554200000.0,(-0.01813126-0.04538345j)
43,3554300000.0,(-0.01848602-0.04528046j)
44,3554400000.0,(-0.01903152-0.04517365j)
45,3554500000.0,(-0.01954651-0.04508591j)
46,3554600000.0,(-0.01994705-0.0449295j)
47,3554700000.0,(-0.02020645-0.04438782j)
48,3554800000.0,(-0.02100754-0.04428864j)
49,3554900000.0,(-0.02116394-0.04400253j)
50,3555000000.0,(-0.02180099-0.04395294j)
51,3555100000.0,(-0.02225304-0.04365158j)
52,3555200000.0,(-0.02279663-0.04333687j)
53,3555300000.0,(-0.0231514-0.04319382j)
54,3555400000.0,(-0.02349281-0.04298973j)
55,3555500000.0,(-0.02389145-0.04282379j)
56,3555600000.0,(-0.02417564-0.0423336j)
57,3555700000.0,(-0.02471733-0.0423069j)
58,3555800000.0,(-0.02502823-0.04223824j)
59,3555900000.0,(-0.02559471-0.04168892j)
60,3556000000.0,(-0.02591515-0.04111862j)
61,3556100000.0,(-0.02656174-0.04121208j)
62,3556200000.0,(-0.02692604-0.04104042j)
63,3556300000.0,(-0.02751732-0.04086304j)
64,3556400000.0,(-0.02777863-0.04018784j)
65,3556500000.0,(-0.02807999-0.04004669j)
66,3556600000.0,(-0.02863312-0.03971481j)
67,3556700000.0,(-0.02887917-0.03965569j)
68,3556800000.0,(-0.02938843-0.03928185j)
69,3556900000.0,(-0.0299778-0.03905678j)
70,3557000000.0,(-0.03050804-0.03861427j)
71,3557100000.0,(-0.03078079-0.03846741j)
72,3557200000.0,(-0.03101158-0.03809547j)
73,3557300000.0,(-0.0314827-0.03764915j)
74,3557400000.0,(-0.03200722-0.03742218j)
75,3557500000.0,(-0.03228569-0.03724289j)
76,3557600000.0,(-0.03255653-0.03677368j)
77,3557700000.0,(-0.03305817-0.03635597j)
78,3557800000.0,(-0.03346252-0.03600311j)
79,3557900000.0,(-0.03365898-0.03580856j)
80,3558000000.0,(-0.03412628-0.03544617j)
81,3558100000.0,(-0.03454399-0.03501701j)
82,3558200000.0,(-0.03476715-0.03472137j)
83,3558300000.0,(-0.03530884-0.03421974j)
84,3558400000.0,(-0.03574562-0.03393936j)
85,3558500000.0,(-0.03587151-0.03375816j)
86,3558600000.0,(-0.03636932-0.03329659j)
87,3558700000.0,(-0.03660965-0.03288078j)
88,3558800000.0,(-0.03689575-0.03257751j)
89,3558900000.0,(-0.03726006-0.03209305j)
90,3559000000.0,(-0.03762436-0.0318718j)
91,3559100000.0,(-0.03802109-0.03129959j)
92,3559200000.0,(-0.0382576-0.03133011j)
93,3559300000.0,(-0.0383606-0.03083611j)
94,3559400000.0,(-0.03883934-0.03026009j)
95,3559500000.0,(-0.03923988-0.02987862j)
96,3559600000.0,(-0.03936768-0.02945709j)
97,3559700000.0,(-0.04000092-0.02912521j)
98,3559800000.0,(-0.04007149-0.02869225j)
99,3559900000.0,(-0.04050064-0.02825356j)
100,3560000000.0,(-0.0406971-0.02787781j)
101,3560100000.0,(-0.04099083-0.02737427j)
102,3560200000.0,(-0.04131317-0.02703667j)
103,3560300000.0,(-0.04173851-0.02651024j)
104,3560400000.0,(-0.04190636-0.0263195j)
105,3560500000.0,(-0.04232216-0.02564621j)
106,3560600000.0,(-0.04237556-0.02524567j)
107,3560700000.0,(-0.04272652-0.0247345j)
108,3560800000.0,(-0.04294205-0.02438927j)
109,3560900000.0,(-0.04324532-0.02385902j)
110,3561000000.0,(-0.04349709-0.02353096j)
111,3561100000.0,(-0.04380035-0.02311516j)
112,3561200000.0,(-0.04390717-0.02246475j)
113,3561300000.0,(-0.04413605-0.02232742j)
114,3561400000.0,(-0.04446793-0.02181244j)
115,3561500000.0,(-0.04481125-0.02125168j)
116,3561600000.0,(-0.04504395-0.02077484j)
117,3561700000.0,(-0.04520416-0.02030563j)
118,3561800000.0,(-0.04535675-0.01985931j)
119,3561900000.0,(-0.04561234-0.01946259j)
120,3562000000.0,(-0.04574585-0.01894379j)
121,3562100000.0,(-0.04624939-0.01839066j)
122,3562200000.0,(-0.04611969-0.01808929j)
123,3562300000.0,(-0.0463562-0.01754379j)
124,3562400000.0,(-0.04655075-0.01720428j)
