,Freq (Hz),Complex (decimal)
0,60000000.0,(-9.052455e-05+5.960464e-05j)
1,66800000.0,(-7.490814e-05+6.142259e-05j)
2,73600000.0,(-2.37748e-05+0.0001318902j)
3,80400000.0,(9.21711e-05+0.000130251j)
4,87200000.0,(0.000126794+4.55156e-05j)
5,94000000.0,(0.0001793802-2.498925e-05j)
6,100800000.0,(0.0001321137-0.0002089292j)
7,107600000.0,(-8.717179e-06-0.0002670437j)
8,114400000.0,(-0.0002345443-0.0002254695j)
9,121200000.0,(-0.0003482103+6.1393e-06j)
10,128000000.0,(-0.0002787858+0.0002097338j)
11,134800000.0,(-5.492568e-05+0.0003838539j)
12,141600000.0,(0.0002058148+0.0003505349j)
13,148400000.0,(0.0004604757+0.0001374185j)
14,155200000.0,(0.0004765987-0.000200063j)
15,162000000.0,(0.0002222657-0.0005310774j)
16,168800000.0,(-0.0001856685-0.0005817413j)
17,175600000.0,(-0.0005710721-0.0003222227j)
18,182400000.0,(-0.0006733239+0.0001341999j)
19,189200000.0,(-0.0004548728+0.0005816519j)
20,196000000.0,(4.49419e-05+0.0007875264j)
21,202800000.0,(0.0006002188+0.0006013215j)
22,209600000.0,(0.0008969009+6.39856e-05j)
23,216400000.0,(0.0007415116-0.0005836487j)
24,223200000.0,(0.0001998544-0.0009721518j)
25,230000000.0,(-0.0005101562-0.0009298921j)
26,236800000.0,(-0.001022279-0.0003445148j)
27,243600000.0,(-0.001091182+0.0004364252j)
28,250400000.0,(-0.0005410314+0.001081407j)
29,257200000.0,(0.0003278852+0.001197338j)
30,264000000.0,(0.001083732+0.0007591844j)
31,270800000.0,(0.001374125-0.000164628j)
32,277600000.0,(0.00097543-0.001071095j)
33,284400000.0,(-1.978874e-05-0.001531124j)
34,291200000.0,(-0.001061201-0.00114131j)
35,298000000.0,(-0.001573563-0.0001554489j)
36,304800000.0,(-0.001360416+0.0009112358j)
37,311600000.0,(-0.0004581213+0.001699686j)
38,318400000.0,(0.0007927418+0.001628995j)
39,325200000.0,(0.001751304+0.0007073879j)
40,332000000.0,(0.001839638-0.000660181j)
41,338800000.0,(0.0009396076-0.001814961j)
42,345600000.0,(-0.0004788637-0.001991749j)
43,352400000.0,(-0.001690149-0.001255035j)
44,359200000.0,(-0.002214909+0.000155568j)
45,366000000.0,(-0.001628578+0.00162977j)
46,372800000.0,(-0.0001062155+0.002334476j)
47,379600000.0,(0.001505554+0.001864672j)
48,386400000.0,(0.002408624+0.000456572j)
49,393200000.0,(0.002212048-0.001261234j)
50,400000000.0,(0.000852704-0.002493501j)
51,406800000.0,(-0.001036882-0.00254488j)
52,413600000.0,(-0.0026052-0.001246214j)
53,420400000.0,(-0.002815843+0.000830889j)
54,427200000.0,(-0.001548409+0.002518773j)
55,434000000.0,(0.000481963+0.002925873j)
56,440800000.0,(0.002275586+0.001981854j)
57,447600000.0,(0.003124952+2.5749e-05j)
58,454400000.0,(0.002464056-0.002135634j)
59,461200000.0,(0.000426292-0.003380179j)
60,468000000.0,(-0.00194478-0.002831101j)
61,474800000.0,(-0.003305197-0.0008440018j)
62,481600000.0,(-0.003116369+0.001501083j)
63,488400000.0,(-0.001506805+0.003254414j)
64,495200000.0,(0.001106739+0.00358367j)
65,502000000.0,(0.003307343+0.002027512j)
66,508800000.0,(0.00390625-0.0008087158j)
67,515600000.0,(0.002337694-0.003215075j)
68,522400000.0,(-0.0003108978-0.003893375j)
69,529200000.0,(-0.002706289-0.00278759j)
70,536000000.0,(-0.003951073-0.0004804134j)
71,542800000.0,(-0.003529787+0.002220154j)
72,549600000.0,(-0.00128746+0.004251957j)
73,556400000.0,(0.002035141+0.004198074j)
74,563200000.0,(0.004407167+0.001690626j)
75,570000000.0,(0.004384041-0.001651764j)
76,576800000.0,(0.002232552-0.004117727j)
77,583600000.0,(-0.0009374619-0.004648447j)
78,590400000.0,(-0.003854513-0.00302279j)
79,597200000.0,(-0.005025625+0.000211954j)
80,604000000.0,(-0.003703833+0.003502131j)
81,610800000.0,(-0.0005538464+0.005196095j)
82,617600000.0,(0.003141403+0.004396915j)
83,624400000.0,(0.005435467+0.001340389j)
84,631200000.0,(0.005067825-0.002681971j)
85,638000000.0,(0.002073288-0.005516768j)
86,644800000.0,(-0.002159357-0.005546331j)
87,651600000.0,(-0.005346298-0.002787352j)
88,658400000.0,(-0.005978584+0.001405954j)
89,665200000.0,(-0.003644943+0.005102396j)
90,672000000.0,(0.0006392+0.006458998j)
91,678800000.0,(0.004824162+0.004453182j)
92,685600000.0,(0.006636858+9.4175e-05j)
93,692400000.0,(0.005134344-0.004280806j)
94,699200000.0,(0.001235008-0.006557465j)
95,706000000.0,(-0.0033288-0.0059762j)
96,712800000.0,(-0.006618977-0.002428055j)
97,719600000.0,(-0.006817341+0.002686024j)
98,726400000.0,(-0.003314018+0.006714821j)
99,733200000.0,(0.002113819+0.007317543j)
100,740000000.0,(0.006365299+0.004097462j)
101,746800000.0,(0.007548332-0.0009880066j)
102,753600000.0,(0.005223751-0.005805016j)
103,760400000.0,(0.00023222-0.00804615j)
104,767200000.0,(-0.005281448-0.006337643j)
105,774000000.0,(-0.008289814-0.0012393j)
106,780800000.0,(-0.00704813+0.004623413j)
107,787600000.0,(-0.002455235+0.008122444j)
108,794400000.0,(0.003490925+0.007977009j)
109,801200000.0,(0.008140087+0.003912926j)
110,808000000.0,(0.009075165-0.002506733j)
111,814800000.0,(0.005204678-0.008290768j)
112,821600000.0,(-0.001793861-0.009763718j)
113,828400000.0,(-0.007868767-0.006048203j)
114,835200000.0,(-0.009911537+0.000724792j)
115,842000000.0,(-0.007148266+0.007094383j)
116,848800000.0,(-0.0008468628+0.0100584j)
117,855600000.0,(0.006079197+0.008291245j)
118,862400000.0,(0.0102272+0.002238274j)
119,869200000.0,(0.009325981-0.005064964j)
120,876000000.0,(0.003928185-0.0100317j)
121,882800000.0,(-0.003500938-0.01039124j)
122,889600000.0,(-0.009930611-0.00593853j)
123,896400000.0,(-0.01202393+0.002331734j)
124,903200000.0,(-0.00742054+0.01025105j)
125,910000000.0,(0.001637459+0.01277828j)
126,916800000.0,(0.009799957+0.008112907j)
127,923600000.0,(0.01249218-0.0003814697j)
128,930400000.0,(0.009271622-0.008183479j)
129,937200000.0,(0.001856804-0.01233768j)
130,944000000.0,(-0.00672245-0.01094437j)
131,950800000.0,(-0.01285458-0.004074097j)
132,957600000.0,(-0.0129776+0.005815506j)
133,964400000.0,(-0.005862236+0.0134697j)
134,971200000.0,(0.005046844+0.01416111j)
135,978000000.0,(0.01341724+0.006988525j)
136,984800000.0,(0.01448059-0.003869057j)
137,991600000.0,(0.008085251-0.01247025j)
138,998400000.0,(-0.002038956-0.01454926j)
139,1005200000.0,(-0.01088142-0.009928703j)
140,1012000000.0,(-0.01494884-0.0006170273j)
141,1018800000.0,(-0.01223087+0.009708405j)
142,1025600000.0,(-0.002726555+0.0158596j)
143,1032400000.0,(0.008753777+0.01412392j)
144,1039200000.0,(0.01624775+0.00454807j)
145,1046000000.0,(0.01525402-0.007670403j)
146,1052800000.0,(0.00638199-0.01605129j)
147,1059600000.0,(-0.006048203-0.01634979j)
148,1066400000.0,(-0.01562214-0.008130074j)
149,1073200000.0,(-0.01719284+0.00447273j)
150,1080000000.0,(-0.009750366+0.01467705j)
151,1086800000.0,(0.00221825+0.01742744j)
152,1093600000.0,(0.0131731+0.01195335j)
153,1100400000.0,(0.0183506+0.00038338j)
154,1107200000.0,(0.01418972-0.01237965j)
155,1114000000.0,(0.00211716-0.01903152j)
156,1120800000.0,(-0.01147747-0.01540184j)
157,1127600000.0,(-0.01855469-0.00362587j)
158,1134400000.0,(-0.01627159+0.00930595j)
159,1141200000.0,(-0.006254196+0.01771545j)
160,1148000000.0,(0.00680542+0.01771164j)
161,1154800000.0,(0.01720619+0.00904083j)
162,1161600000.0,(0.01931858-0.004945755j)
163,1168400000.0,(0.0109396-0.01685715j)
164,1175200000.0,(-0.002837181-0.01957226j)
165,1182000000.0,(-0.01517487-0.01274681j)
166,1188800000.0,(-0.01978588+0.0004673j)
167,1195600000.0,(-0.01433468+0.01368046j)
168,1202400000.0,(-0.001684189+0.01988125j)
169,1209200000.0,(0.01181316+0.01587391j)
170,1216000000.0,(0.01920986+0.00412846j)
171,1222800000.0,(0.01721096-0.009387016j)
172,1229600000.0,(0.00692368-0.01864529j)
173,1236400000.0,(-0.007071495-0.01880741j)
174,1243200000.0,(-0.01807404-0.009397507j)
175,1250000000.0,(-0.01973724+0.00518608j)
176,1256800000.0,(-0.01110554+0.01690197j)
177,1263600000.0,(0.00252151+0.01955795j)
178,1270400000.0,(0.01466846+0.01319599j)
179,1277200000.0,(0.01992226+0.0005703j)
180,1284000000.0,(0.01585484-0.01282215j)
181,1290800000.0,(0.0032444-0.02042389j)
182,1297600000.0,(-0.01129055-0.01731205j)
183,1304400000.0,(-0.01981163-0.005506516j)
184,1311200000.0,(-0.01850891+0.00882721j)
185,1318000000.0,(-0.008493423+0.01881886j)
186,1324800000.0,(0.00612068+0.02013588j)
187,1331600000.0,(0.01826668+0.0109911j)
188,1338400000.0,(0.02099991-0.004112244j)
189,1345200000.0,(0.01286125-0.0170269j)
190,1352000000.0,(-0.001502991-0.02101135j)
191,1358800000.0,(-0.01472664-0.0148735j)
192,1365600000.0,(-0.02088737-0.001724243j)
193,1372400000.0,(-0.01711369+0.01256561j)
194,1379200000.0,(-0.004749298+0.02106476j)
195,1386000000.0,(0.0105238+0.01895237j)
196,1392800000.0,(0.02041435+0.00730896j)
197,1399600000.0,(0.0201416-0.00806427j)
198,1406400000.0,(0.01002026-0.01925182j)
199,1413200000.0,(-0.005064011-0.0211544j)
200,1420000000.0,(-0.01784134-0.01276398j)
201,1426800000.0,(-0.02213287+0.00198936j)
202,1433600000.0,(-0.01552296+0.01621819j)
203,1440400000.0,(-0.0008983612+0.02292061j)
204,1447200000.0,(0.01478195+0.01791382j)
205,1454000000.0,(0.02312279+0.00338554j)
206,1460800000.0,(0.01922226-0.01322174j)
207,1467600000.0,(0.00534821-0.02223206j)
208,1474400000.0,(-0.01025677-0.01963615j)
209,1481200000.0,(-0.02006912-0.008419037j)
210,1488000000.0,(-0.02095985+0.00624657j)
211,1494800000.0,(-0.01244259+0.01844406j)
212,1501600000.0,(0.00260353+0.02298546j)
213,1508400000.0,(0.01814365+0.01575756j)
214,1515200000.0,(0.02429199-0.0009555817j)
215,1522000000.0,(0.01691437-0.01702976j)
216,1528800000.0,(0.00118828-0.02334976j)
217,1535600000.0,(-0.01403522-0.01807785j)
218,1542400000.0,(-0.02219582-0.004512787j)
219,1549200000.0,(-0.01994896+0.01084328j)
220,1556000000.0,(-0.008272171+0.02128029j)
221,1562800000.0,(0.00794125+0.02135372j)
222,1569600000.0,(0.01988697+0.01111889j)
223,1576400000.0,(0.02241135-0.004587173j)
224,1583200000.0,(0.01416779-0.01813602j)
225,1590000000.0,(-0.001079559-0.02334785j)
226,1596800000.0,(-0.01654243-0.01701069j)
227,1603600000.0,(-0.02398682-0.001724243j)
228,1610400000.0,(-0.01894855+0.01463795j)
229,1617200000.0,(-0.004463196+0.02300072j)
230,1624000000.0,(0.0114212+0.02027512j)
231,1630800000.0,(0.02181053+0.00806236j)
232,1637600000.0,(0.02177429-0.007833481j)
233,1644400000.0,(0.01176071-0.02043724j)
234,1651200000.0,(-0.004608154-0.02326775j)
235,1658000000.0,(-0.01879692-0.01488876j)
236,1664800000.0,(-0.02421379+0.00098228j)
237,1671600000.0,(-0.01782608+0.0166893j)
238,1678400000.0,(-0.002742767+0.02495575j)
239,1685200000.0,(0.0146904+0.02106857j)
240,1692000000.0,(0.02529907+0.00595474j)
241,1698800000.0,(0.02282143-0.01235771j)
242,1705600000.0,(0.00904465-0.0245533j)
243,1712400000.0,(-0.009288788-0.02417374j)
244,1719200000.0,(-0.02287102-0.01236534j)
245,1726000000.0,(-0.02564049+0.00549316j)
246,1732800000.0,(-0.01586342+0.02109337j)
247,1739600000.0,(0.00204277+0.02639008j)
248,1746400000.0,(0.01915169+0.01896095j)
249,1753200000.0,(0.02719688+0.00201416j)
250,1760000000.0,(0.02209282-0.01648521j)
251,1766800000.0,(0.00581551-0.02740669j)
252,1773600000.0,(-0.01411438-0.02467346j)
253,1780400000.0,(-0.02711487-0.009231567j)
254,1787200000.0,(-0.02659988+0.01124763j)
255,1794000000.0,(-0.01239204+0.02615738j)
256,1800800000.0,(0.00782967+0.02813339j)
257,1807600000.0,(0.0245266+0.01612473j)
258,1814400000.0,(0.02891159-0.004220963j)
259,1821200000.0,(0.01932716-0.02202415j)
260,1828000000.0,(0.00025558-0.02902603j)
261,1834800000.0,(-0.01876259-0.02268791j)
262,1841600000.0,(-0.02981949-0.005285263j)
263,1848400000.0,(-0.0267334+0.01612854j)
264,1855200000.0,(-0.009185791+0.03076363j)
265,1862000000.0,(0.01439667+0.02942276j)
266,1868800000.0,(0.03041649+0.01180649j)
267,1875600000.0,(0.0299511-0.01128197j)
268,1882400000.0,(0.01530457-0.02758598j)
269,1889200000.0,(-0.006153107-0.03072739j)
270,1896000000.0,(-0.02475929-0.01932526j)
271,1902800000.0,(-0.03180504+0.00136185j)
272,1909600000.0,(-0.02336884+0.02227974j)
273,1916400000.0,(-0.003252029+0.03259659j)
274,1923200000.0,(0.02008057+0.02749825j)
275,1930000000.0,(0.03406143+0.00667953j)
276,1936800000.0,(0.02964401-0.01836586j)
277,1943600000.0,(0.00921249-0.03367996j)
278,1950400000.0,(-0.01545715-0.0299015j)
279,1957200000.0,(-0.03005028-0.01234055j)
280,1964000000.0,(-0.03050613+0.00948143j)
281,1970800000.0,(-0.01791191+0.02695084j)
282,1977600000.0,(0.00389099+0.03307533j)
283,1984400000.0,(0.02592468+0.02346039j)
284,1991200000.0,(0.03578186-0.000831604j)
285,1998000000.0,(0.02518845-0.02519798j)
286,2004800000.0,(0.00180626-0.03466415j)
287,2011600000.0,(-0.02074242-0.02668762j)
288,2018400000.0,(-0.03280067-0.00702095j)
289,2025200000.0,(-0.02979469+0.01607895j)
290,2032000000.0,(-0.01217079+0.03256798j)
291,2038800000.0,(0.01268768+0.03264236j)
292,2045600000.0,(0.03103065+0.01573753j)
293,2052400000.0,(0.03359032-0.008556366j)
294,2059200000.0,(0.0200882-0.02795029j)
295,2066000000.0,(-0.002662659-0.03513908j)
296,2072800000.0,(-0.02625561-0.02498531j)
297,2079600000.0,(-0.03702927-0.0002231598j)
298,2086400000.0,(-0.02674484+0.02511692j)
299,2093200000.0,(-0.002872467+0.03500175j)
300,2100000000.0,(0.0200367+0.02752113j)
301,2106800000.0,(0.03204536+0.00838661j)
302,2113600000.0,(0.03037071-0.01359177j)
303,2120400000.0,(0.0151577-0.03061676j)
304,2127200000.0,(-0.009399414-0.03468895j)
305,2134000000.0,(-0.03116035-0.01972008j)
306,2140800000.0,(-0.0365448+0.00677109j)
307,2147600000.0,(-0.0219593+0.0291996j)
308,2154400000.0,(0.00296021+0.03586769j)
