,Freq (Hz),Complex (decimal)
0,60000000.0,(-9.521842e-05-2.726167e-05j)
1,66800000.0,(-0.0001234561+3.40343e-05j)
2,73600000.0,(-3.420562e-05+0.000120379j)
3,80400000.0,(7.70465e-05+0.0001278073j)
4,87200000.0,(0.0001439452+9.37283e-05j)
5,94000000.0,(0.0001899824-6.991625e-05j)
6,100800000.0,(0.0001539364-0.0001554266j)
7,107600000.0,(-6.765127e-06-0.0002551526j)
8,114400000.0,(-0.0002201945-0.0002159923j)
9,121200000.0,(-0.0003487468-1.311302e-05j)
10,128000000.0,(-0.0002909005+0.0002215505j)
11,134800000.0,(-5.370378e-05+0.0003727078j)
12,141600000.0,(0.0002166033+0.0003447235j)
13,148400000.0,(0.0004665256+0.0001580417j)
14,155200000.0,(0.0004628599-0.0002135932j)
15,162000000.0,(0.0002333522-0.0005274415j)
16,168800000.0,(-0.0001990199-0.0005747676j)
17,175600000.0,(-0.0005880594-0.0003286004j)
18,182400000.0,(-0.0006702542+0.0001571178j)
19,189200000.0,(-0.0004748404+0.0005698502j)
20,196000000.0,(4.36902e-05+0.0007905066j)
21,202800000.0,(0.0005965829+0.0005802214j)
22,209600000.0,(0.0008916557+4.56274e-05j)
23,216400000.0,(0.0007502735-0.0005707145j)
24,223200000.0,(0.0001897216-0.0009630322j)
25,230000000.0,(-0.0005097389-0.0009287596j)
26,236800000.0,(-0.001027107-0.000385344j)
27,243600000.0,(-0.001080215+0.0004476905j)
28,250400000.0,(-0.0005171299+0.001099646j)
29,257200000.0,(0.0003021955+0.001189709j)
30,264000000.0,(0.001075506+0.0007161498j)
31,270800000.0,(0.001361251-0.0001658201j)
32,277600000.0,(0.0009711385-0.001108706j)
33,284400000.0,(-2.157688e-05-0.001531363j)
34,291200000.0,(-0.001064777-0.001128316j)
35,298000000.0,(-0.001575589-0.0001769066j)
36,304800000.0,(-0.001382589+0.0009429455j)
37,311600000.0,(-0.0004589558+0.001695514j)
38,318400000.0,(0.0007833242+0.001640558j)
39,325200000.0,(0.001752615+0.0007140636j)
40,332000000.0,(0.001867414-0.0006575584j)
41,338800000.0,(0.0009613037-0.001783013j)
42,345600000.0,(-0.00046134-0.002004862j)
43,352400000.0,(-0.001721621-0.001285672j)
44,359200000.0,(-0.002197742+0.00015974j)
45,366000000.0,(-0.001598239+0.001647711j)
46,372800000.0,(-6.949902e-05+0.002369881j)
47,379600000.0,(0.001508653+0.001880884j)
48,386400000.0,(0.002418399+0.000458479j)
49,393200000.0,(0.002198696-0.001262903j)
50,400000000.0,(0.000859141-0.002477527j)
51,406800000.0,(-0.001002431-0.002545595j)
52,413600000.0,(-0.002560735-0.001239777j)
53,420400000.0,(-0.002790928+0.000792623j)
54,427200000.0,(-0.001508355+0.002488494j)
55,434000000.0,(0.000455499+0.002949595j)
56,440800000.0,(0.002303123+0.001957297j)
57,447600000.0,(0.003137112+3.922e-05j)
58,454400000.0,(0.002454638-0.002149582j)
59,461200000.0,(0.00040555-0.003360868j)
60,468000000.0,(-0.001950622-0.002830029j)
