,Freq (Hz),Complex (decimal)
0,60000000.0,(-7.504225e-05+1.943856e-05j)
1,66800000.0,(-9.007007e-05+8.02353e-05j)
2,73600000.0,(-2.980977e-05+0.0001034513j)
3,80400000.0,(8.91164e-05+0.0001414791j)
4,87200000.0,(0.0001458973+5.98505e-05j)
5,94000000.0,(0.0002019405-3.539026e-05j)
6,100800000.0,(0.00014925-0.0001595914j)
7,107600000.0,(-9.223819e-06-0.0002599061j)
8,114400000.0,(-0.0002093911-0.0002129227j)
9,121200000.0,(-0.0003432035-2.384186e-07j)
10,128000000.0,(-0.0002727658+0.0002185404j)
11,134800000.0,(-5.432963e-05+0.0003762543j)
12,141600000.0,(0.0002334118+0.0003447235j)
13,148400000.0,(0.0004514158+0.0001471043j)
14,155200000.0,(0.000493288-0.0002386868j)
15,162000000.0,(0.0002453625-0.0005069673j)
16,168800000.0,(-0.000172019-0.0005764365j)
17,175600000.0,(-0.0005320311-0.00035882j)
18,182400000.0,(-0.000672698+0.0001049638j)
19,189200000.0,(-0.0004740059+0.0005737543j)
20,196000000.0,(4.04716e-05+0.0007988513j)
21,202800000.0,(0.0005873144+0.000621587j)
22,209600000.0,(0.0009030998+8.2016e-05j)
23,216400000.0,(0.0007651746-0.0005581677j)
24,223200000.0,(0.0002179742-0.001000166j)
25,230000000.0,(-0.000466466-0.0009438396j)
26,236800000.0,(-0.001045942-0.0003711581j)
27,243600000.0,(-0.001099288+0.0004239678j)
28,250400000.0,(-0.000584662+0.001096308j)
29,257200000.0,(0.0002820492+0.001234651j)
30,264000000.0,(0.001084268+0.0007764697j)
31,270800000.0,(0.00141263-0.0001194477j)
32,277600000.0,(0.0009897351-0.001097858j)
33,284400000.0,(-5.722046e-06-0.001580596j)
34,291200000.0,(-0.001054645-0.00116539j)
35,298000000.0,(-0.00162518-0.0002207756j)
36,304800000.0,(-0.001405716+0.0009069443j)
37,311600000.0,(-0.000500083+0.001678705j)
38,318400000.0,(0.0007748604+0.001686931j)
39,325200000.0,(0.001751065+0.0007692575j)
40,332000000.0,(0.001870751-0.0006004572j)
41,338800000.0,(0.001013756-0.001791954j)
42,345600000.0,(-0.0004220009-0.002058744j)
43,352400000.0,(-0.00170505-0.001305223j)
44,359200000.0,(-0.002248049+0.000127077j)
45,366000000.0,(-0.001684427+0.001666069j)
46,372800000.0,(-0.0001577139+0.002429485j)
47,379600000.0,(0.00150609+0.001940489j)
48,386400000.0,(0.00243628+0.000507355j)
49,393200000.0,(0.00225246-0.001239896j)
50,400000000.0,(0.000961423-0.002525091j)
51,406800000.0,(-0.0009901524-0.002648592j)
52,413600000.0,(-0.002624393-0.001336336j)
53,420400000.0,(-0.002887607+0.000791073j)
54,427200000.0,(-0.001629233+0.002552032j)
55,434000000.0,(0.000422359+0.003016472j)
56,440800000.0,(0.002299786+0.002082109j)
57,447600000.0,(0.003215075+8.1301e-05j)
58,454400000.0,(0.002576232-0.002179146j)
59,461200000.0,(0.000523448-0.003389359j)
60,468000000.0,(-0.001941204-0.002937794j)
61,474800000.0,(-0.003342867-0.000991106j)
62,481600000.0,(-0.00320673+0.001439333j)
63,488400000.0,(-0.001590729+0.00332284j)
64,495200000.0,(0.00099206+0.00366354j)
65,502000000.0,(0.003371+0.002146244j)
66,508800000.0,(0.004021168-0.0007460117j)
67,515600000.0,(0.00245285-0.003269196j)
