,Freq (Hz),Complex (decimal)
0,60000000.0,(-0.000108935+1.829863e-05j)
1,66800000.0,(-8.891151e-05+5.098432e-05j)
2,73600000.0,(-2.975762e-05+0.0001008846j)
3,80400000.0,(7.15107e-05+0.0001356974j)
4,87200000.0,(0.0001652092+6.58929e-05j)
5,94000000.0,(0.0002027154-3.381073e-05j)
6,100800000.0,(0.0001194924-0.0002060831j)
7,107600000.0,(-9.700656e-06-0.0002618283j)
8,114400000.0,(-0.000197798-0.0002313107j)
9,121200000.0,(-0.0003278553-1.877546e-05j)
10,128000000.0,(-0.0002813339+0.0002285093j)
11,134800000.0,(-4.434586e-05+0.0003946424j)
12,141600000.0,(0.0002038479+0.0003585815j)
13,148400000.0,(0.0004630685+0.0001499355j)
14,155200000.0,(0.0004780293-0.0002242327j)
15,162000000.0,(0.0002466142-0.0005074739j)
16,168800000.0,(-0.0002040863-0.0005696416j)
17,175600000.0,(-0.0005589724-0.0003040433j)
18,182400000.0,(-0.0006854832+0.0001131892j)
19,189200000.0,(-0.0004702806+0.0005695224j)
20,196000000.0,(1.72853e-05+0.0007578731j)
21,202800000.0,(0.0005992949+0.0006212294j)
22,209600000.0,(0.0009087324+7.50422e-05j)
23,216400000.0,(0.0007810891-0.0005696714j)
24,223200000.0,(0.0002004504-0.0009744763j)
25,230000000.0,(-0.0004873872-0.0009379387j)
26,236800000.0,(-0.001053393-0.0004121065j)
27,243600000.0,(-0.001075983+0.0004107356j)
28,250400000.0,(-0.0005589724+0.001073778j)
29,257200000.0,(0.0003150702+0.001232386j)
30,264000000.0,(0.001095951+0.0007602572j)
31,270800000.0,(0.001423597-0.0001554489j)
32,277600000.0,(0.0009986162-0.001099467j)
33,284400000.0,(1.65701e-05-0.001531959j)
34,291200000.0,(-0.001077771-0.001188517j)
35,298000000.0,(-0.001617789-0.0002090931j)
36,304800000.0,(-0.001394868+0.0009171963j)
37,311600000.0,(-0.000487566+0.001673579j)
38,318400000.0,(0.0007441044+0.001676202j)
39,325200000.0,(0.00177896+0.0007830858j)
40,332000000.0,(0.001891732-0.0006285906j)
41,338800000.0,(0.001031518-0.001798153j)
42,345600000.0,(-0.0004014969-0.002050638j)
43,352400000.0,(-0.001724839-0.00131619j)
44,359200000.0,(-0.00227952+0.000120878j)
45,366000000.0,(-0.00167793+0.001671851j)
46,372800000.0,(-0.0001641512+0.00239563j)
47,379600000.0,(0.001518369+0.001935601j)
48,386400000.0,(0.002475977+0.000506401j)
49,393200000.0,(0.00226903-0.001210213j)
50,400000000.0,(0.000977755-0.002526879j)
51,406800000.0,(-0.0009664297-0.002655506j)
52,413600000.0,(-0.002605796-0.001342058j)
53,420400000.0,(-0.002877474+0.000799298j)
54,427200000.0,(-0.001644611+0.002510905j)
55,434000000.0,(0.000403881+0.003021955j)
56,440800000.0,(0.002292395+0.002096295j)
57,447600000.0,(0.003186464+0.000118852j)
58,454400000.0,(0.002585053-0.002117276j)
59,461200000.0,(0.000498772-0.003420591j)
60,468000000.0,(-0.001940012-0.002912521j)
61,474800000.0,(-0.00335741-0.0009708405j)
62,481600000.0,(-0.00317812+0.001451492j)
63,488400000.0,(-0.001578569+0.00330925j)
64,495200000.0,(0.000999212+0.003703356j)
65,502000000.0,(0.003380775+0.002147436j)
66,508800000.0,(0.004006863-0.0007169247j)
67,515600000.0,(0.00244236-0.003265381j)
68,522400000.0,(-0.0002801418-0.003968477j)
69,529200000.0,(-0.002732038-0.00290823j)
70,536000000.0,(-0.004022598-0.0005326271j)
71,542800000.0,(-0.00368309+0.002243519j)
72,549600000.0,(-0.001412392+0.004337311j)
73,556400000.0,(0.002028942+0.004324436j)
74,563200000.0,(0.00447464+0.001824379j)
75,570000000.0,(0.004538536-0.001598597j)
76,576800000.0,(0.002346516-0.004179239j)
77,583600000.0,(-0.0008888245-0.00483489j)
78,590400000.0,(-0.003900051-0.003139973j)
79,597200000.0,(-0.005168915+0.000174284j)
80,604000000.0,(-0.003839731+0.00353837j)
81,610800000.0,(-0.0006096363+0.005398512j)
82,617600000.0,(0.003078699+0.004600048j)
83,624400000.0,(0.005517721+0.001483202j)
84,631200000.0,(0.005259275-0.002652407j)
85,638000000.0,(0.002125263-0.005601645j)
86,644800000.0,(-0.002111912-0.005738974j)
87,651600000.0,(-0.005430698-0.002962589j)
88,658400000.0,(-0.006126642+0.001281738j)
89,665200000.0,(-0.003875971+0.00516367j)
90,672000000.0,(0.000555038+0.006654501j)
91,678800000.0,(0.004891872+0.004652977j)
92,685600000.0,(0.006747961+0.00020647j)
93,692400000.0,(0.005285025-0.004221678j)
94,699200000.0,(0.001398087-0.006670475j)
95,706000000.0,(-0.003379822-0.006156921j)
96,712800000.0,(-0.006781101-0.002618313j)
97,719600000.0,(-0.00703764+0.002655983j)
98,726400000.0,(-0.00345993+0.006865501j)
99,733200000.0,(0.001998901+0.007490635j)
100,740000000.0,(0.006486416+0.00428915j)
101,746800000.0,(0.00773859-0.0009522438j)
102,753600000.0,(0.005354404-0.00582552j)
103,760400000.0,(0.000374794-0.008212566j)
104,767200000.0,(-0.005317211-0.006494522j)
105,774000000.0,(-0.008470535-0.001354694j)
106,780800000.0,(-0.007328987+0.004542351j)
107,787600000.0,(-0.002586365+0.008281708j)
108,794400000.0,(0.003446579+0.008199692j)
109,801200000.0,(0.008204937+0.004136086j)
110,808000000.0,(0.009212494-0.002435684j)
111,814800000.0,(0.005365372-0.008375645j)
112,821600000.0,(-0.001785278-0.009912491j)
113,828400000.0,(-0.007967949-0.006259441j)
114,835200000.0,(-0.0100584+0.000558853j)
115,842000000.0,(-0.00730896+0.007070541j)
116,848800000.0,(-0.001006126+0.01029968j)
117,855600000.0,(0.006130695+0.008467197j)
118,862400000.0,(0.01034355+0.002403259j)
119,869200000.0,(0.009531021-0.004926682j)
120,876000000.0,(0.004098892-0.01010132j)
