,Freq (Hz),Complex (decimal)
0,60000000.0,(-0.0001384169-1.548231e-05j)
1,66800000.0,(-0.0001086183+3.877282e-05j)
2,73600000.0,(-3.354996e-05+0.0001075864j)
3,80400000.0,(3.52785e-05+0.000151746j)
4,87200000.0,(0.0001528189+3.656e-05j)
5,94000000.0,(0.0002220422-3.841519e-05j)
6,100800000.0,(0.0001373962-0.0001615435j)
7,107600000.0,(-2.533197e-06-0.0002623051j)
8,114400000.0,(-0.0002412647-0.0002152324j)
9,121200000.0,(-0.0003139079-1.175702e-05j)
10,128000000.0,(-0.0002836883+0.0002331883j)
11,134800000.0,(-5.850196e-05+0.000376761j)
12,141600000.0,(0.000217855+0.0003742576j)
13,148400000.0,(0.0004402101+0.0001414418j)
14,155200000.0,(0.0004947186-0.000221014j)
15,162000000.0,(0.0002373457-0.0005418658j)
16,168800000.0,(-0.0001991987-0.0005692244j)
17,175600000.0,(-0.0005611777-0.0003336072j)
18,182400000.0,(-0.0006673932+0.0001450181j)
19,189200000.0,(-0.0004641414+0.0005754232j)
20,196000000.0,(3.30508e-05+0.0008117557j)
21,202800000.0,(0.0005994439+0.0006035268j)
22,209600000.0,(0.0009122491+5.47171e-05j)
23,216400000.0,(0.0007525086-0.0005548596j)
24,223200000.0,(0.0002000928-0.0009930134j)
25,230000000.0,(-0.0005117655-0.0009329319j)
26,236800000.0,(-0.001042068-0.0003712177j)
27,243600000.0,(-0.00109911+0.0004189014j)
28,250400000.0,(-0.0005961061+0.001083791j)
29,257200000.0,(0.0002832413+0.001219034j)
30,264000000.0,(0.001080811+0.0007693172j)
31,270800000.0,(0.001394749-0.0001493692j)
32,277600000.0,(0.0009856224-0.001116872j)
33,284400000.0,(1.192e-07-0.001538634j)
34,291200000.0,(-0.001051784-0.001171947j)
35,298000000.0,(-0.00160861-0.0001913309j)
36,304800000.0,(-0.001394868+0.0009146929j)
37,311600000.0,(-0.0004594326+0.001699924j)
38,318400000.0,(0.0007739067+0.001675487j)
39,325200000.0,(0.001776576+0.0007296801j)
40,332000000.0,(0.001878142-0.0006357431j)
41,338800000.0,(0.001005411-0.001769423j)
42,345600000.0,(-0.0004386902-0.002036572j)
43,352400000.0,(-0.001711249-0.001304269j)
44,359200000.0,(-0.002243757+0.000128746j)
45,366000000.0,(-0.001648962+0.001654685j)
46,372800000.0,(-0.0001159906+0.002383828j)
47,379600000.0,(0.001526773+0.001932263j)
48,386400000.0,(0.002425432+0.000486135j)
49,393200000.0,(0.002218008-0.0012573j)
50,400000000.0,(0.000910282-0.002507687j)
51,406800000.0,(-0.001023293-0.002609134j)
52,413600000.0,(-0.002611995-0.001305819j)
53,420400000.0,(-0.002835274+0.000825167j)
54,427200000.0,(-0.001596808+0.002536774j)
55,434000000.0,(0.000448704+0.002949476j)
56,440800000.0,(0.002305388+0.00205636j)
57,447600000.0,(0.003181934+7.0214e-05j)
58,454400000.0,(0.002546787-0.002130866j)
59,461200000.0,(0.000468493-0.00338769j)
60,468000000.0,(-0.001957059-0.002877235j)
61,474800000.0,(-0.003335953-0.0009372234j)
62,481600000.0,(-0.00318718+0.001485586j)
63,488400000.0,(-0.00151968+0.003298521j)
64,495200000.0,(0.001027346+0.003633022j)
65,502000000.0,(0.00335598+0.002114534j)
66,508800000.0,(0.003966331-0.0007708073j)
67,515600000.0,(0.00238657-0.003197908j)
68,522400000.0,(-0.0002839565-0.003954887j)
69,529200000.0,(-0.00271821-0.002857924j)
70,536000000.0,(-0.004018784-0.0005369186j)
71,542800000.0,(-0.003624916+0.002199888j)
72,549600000.0,(-0.001349926+0.004309654j)
73,556400000.0,(0.002008915+0.004251003j)
74,563200000.0,(0.004425526+0.001750946j)
75,570000000.0,(0.004516602-0.001615524j)
76,576800000.0,(0.002315521-0.00415349j)
77,583600000.0,(-0.0009002686-0.004745245j)
78,590400000.0,(-0.003876209-0.003109455j)
79,597200000.0,(-0.005098581+0.000181437j)
80,604000000.0,(-0.003852367+0.003530741j)
81,610800000.0,(-0.0005972385+0.005284786j)
82,617600000.0,(0.003131628+0.004546404j)
83,624400000.0,(0.005523682+0.001377106j)
84,631200000.0,(0.00522542-0.002687454j)
85,638000000.0,(0.002150059-0.005629778j)
86,644800000.0,(-0.002152443-0.005670309j)
87,651600000.0,(-0.005376816-0.002868176j)
88,658400000.0,(-0.006078243+0.001321316j)
89,665200000.0,(-0.003845453+0.00513792j)
90,672000000.0,(0.000571012+0.006564856j)
91,678800000.0,(0.004886866+0.004533768j)
92,685600000.0,(0.006695747+0.000166416j)
93,692400000.0,(0.00518775-0.004195452j)
94,699200000.0,(0.001318455-0.006567478j)
95,706000000.0,(-0.003317356-0.006021976j)
96,712800000.0,(-0.006728172-0.002530098j)
97,719600000.0,(-0.006923199+0.002698421j)
98,726400000.0,(-0.003421783+0.006783962j)
99,733200000.0,(0.002017021+0.007340431j)
100,740000000.0,(0.006393909+0.004220009j)
101,746800000.0,(0.007619381-0.0009846687j)
102,753600000.0,(0.005275249-0.005798817j)
103,760400000.0,(0.000289917-0.008098602j)
104,767200000.0,(-0.005339146-0.006444931j)
105,774000000.0,(-0.008399487-0.001306534j)
106,780800000.0,(-0.007263184+0.004538536j)
107,787600000.0,(-0.002487659+0.008304119j)
108,794400000.0,(0.003457546+0.00812149j)
109,801200000.0,(0.008180618+0.004075527j)
110,808000000.0,(0.009185791-0.002528191j)
111,814800000.0,(0.005297661-0.008309841j)
112,821600000.0,(-0.001648903-0.009914398j)
113,828400000.0,(-0.007917404-0.006167889j)
114,835200000.0,(-0.01003551+0.000583649j)
115,842000000.0,(-0.007272243+0.006957054j)
116,848800000.0,(-0.000910759+0.01013374j)
117,855600000.0,(0.006119728+0.008442879j)
118,862400000.0,(0.01037025+0.002295494j)
119,869200000.0,(0.009439468-0.005057335j)
120,876000000.0,(0.004011154-0.01009941j)
121,882800000.0,(-0.003520966-0.01052856j)
122,889600000.0,(-0.009946823-0.006043434j)
123,896400000.0,(-0.01201534+0.002164841j)
124,903200000.0,(-0.007565498+0.01036835j)
125,910000000.0,(0.001635551+0.01287174j)
126,916800000.0,(0.009851456+0.008199692j)
127,923600000.0,(0.01261139-0.000377655j)
128,930400000.0,(0.009425163-0.008299828j)
129,937200000.0,(0.001834869-0.01244068j)
130,944000000.0,(-0.006765366-0.01111126j)
131,950800000.0,(-0.01288033-0.004169464j)
132,957600000.0,(-0.01290607+0.005709648j)
133,964400000.0,(-0.006014824+0.01338577j)
134,971200000.0,(0.004915237+0.01419163j)
135,978000000.0,(0.0133934+0.007113457j)
136,984800000.0,(0.01455879-0.003818512j)
137,991600000.0,(0.008312225-0.0123806j)
138,998400000.0,(-0.001848221-0.01462364j)
139,1005200000.0,(-0.01081085-0.01006889j)
140,1012000000.0,(-0.01504612-0.0007705688j)
141,1018800000.0,(-0.01231956+0.009557724j)
142,1025600000.0,(-0.002981186+0.01580906j)
143,1032400000.0,(0.008645058+0.01424217j)
144,1039200000.0,(0.01623726+0.00468063j)
145,1046000000.0,(0.0154438-0.007471085j)
146,1052800000.0,(0.00645351-0.01594543j)
147,1059600000.0,(-0.005992889-0.01636696j)
148,1066400000.0,(-0.01559448-0.00828743j)
149,1073200000.0,(-0.01704407+0.00431252j)
150,1080000000.0,(-0.01001453+0.01455307j)
151,1086800000.0,(0.00219345+0.01726151j)
152,1093600000.0,(0.01303768+0.01202774j)
153,1100400000.0,(0.01812553+0.00061607j)
154,1107200000.0,(0.01446819-0.01203156j)
155,1114000000.0,(0.00229073-0.01916885j)
156,1120800000.0,(-0.01125431-0.01551533j)
157,1127600000.0,(-0.01849556-0.003858566j)
158,1134400000.0,(-0.01631355+0.00918198j)
159,1141200000.0,(-0.006451607+0.01726723j)
160,1148000000.0,(0.00652218+0.01775646j)
161,1154800000.0,(0.01700974+0.00919819j)
162,1161600000.0,(0.01916122-0.004630089j)
163,1168400000.0,(0.01123619-0.0166111j)
164,1175200000.0,(-0.002576828-0.01955414j)
165,1182000000.0,(-0.01483154-0.01286888j)
166,1188800000.0,(-0.01966953+0.00026608j)
167,1195600000.0,(-0.01466084+0.01320839j)
168,1202400000.0,(-0.001996994+0.01961327j)
169,1209200000.0,(0.01151752+0.01581764j)
170,1216000000.0,(0.01894093+0.00428391j)
171,1222800000.0,(0.01725483-0.008992195j)
172,1229600000.0,(0.00718689-0.0184021j)
173,1236400000.0,(-0.006804466-0.0186758j)
174,1243200000.0,(-0.01772022-0.009592056j)
175,1250000000.0,(-0.01947308+0.00481796j)
176,1256800000.0,(-0.0112381+0.01653576j)
177,1263600000.0,(0.00224972+0.01931953j)
178,1270400000.0,(0.0142374+0.01339626j)
179,1277200000.0,(0.01966476+0.00104332j)
180,1284000000.0,(0.01584625-0.01232052j)
181,1290800000.0,(0.00355911-0.01999092j)
182,1297600000.0,(-0.01073074-0.01739216j)
183,1304400000.0,(-0.01949883-0.005882263j)
184,1311200000.0,(-0.01859379+0.00827312j)
185,1318000000.0,(-0.008656502+0.01852989j)
186,1324800000.0,(0.0057354+0.01995277j)
187,1331600000.0,(0.0176754+0.01131535j)
188,1338400000.0,(0.02085686-0.003479004j)
189,1345200000.0,(0.01300716-0.0161705j)
190,1352000000.0,(-0.001041412-0.02069664j)
191,1358800000.0,(-0.01417542-0.01495552j)
192,1365600000.0,(-0.02064133-0.002214432j)
193,1372400000.0,(-0.01724529+0.01196671j)
194,1379200000.0,(-0.005126953+0.02060318j)
195,1386000000.0,(0.00990868+0.01895714j)
196,1392800000.0,(0.01997948+0.007658j)
197,1399600000.0,(0.01993942-0.007309914j)
198,1406400000.0,(0.01037693-0.01864147j)
199,1413200000.0,(-0.004392624-0.0208416j)
200,1420000000.0,(-0.01716137-0.01307201j)
201,1426800000.0,(-0.02188683+0.00141144j)
202,1433600000.0,(-0.01568317+0.01546764j)
203,1440400000.0,(-0.001607895+0.02247429j)
204,1447200000.0,(0.01401138+0.01804638j)
205,1454000000.0,(0.02267265+0.00396538j)
206,1460800000.0,(0.01922894-0.01249409j)
207,1467600000.0,(0.00579643-0.02155113j)
208,1474400000.0,(-0.009513855-0.01954651j)
209,1481200000.0,(-0.01943398-0.008793831j)
210,1488000000.0,(-0.02064705+0.00541687j)
211,1494800000.0,(-0.01272011+0.01762104j)
212,1501600000.0,(0.00198555+0.02285576j)
213,1508400000.0,(0.01724339+0.01601219j)
214,1515200000.0,(0.02385712-0.0001239777j)
215,1522000000.0,(0.01733017-0.01616192j)
216,1528800000.0,(0.001791-0.02296829j)
217,1535600000.0,(-0.01315117-0.01815701j)
218,1542400000.0,(-0.0215435-0.005361557j)
219,1549200000.0,(-0.01996899+0.00991821j)
220,1556000000.0,(-0.008550644+0.02059174j)
221,1562800000.0,(0.00697041+0.0212574j)
222,1569600000.0,(0.01910782+0.01156139j)
223,1576400000.0,(0.02205086-0.003580093j)
224,1583200000.0,(0.01454258-0.01716042j)
225,1590000000.0,(-7.629395e-05-0.02285194j)
226,1596800000.0,(-0.01540756-0.01735306j)
227,1603600000.0,(-0.02320862-0.00257206j)
228,1610400000.0,(-0.01924324+0.0133419j)
229,1617200000.0,(-0.005334854+0.02243042j)
230,1624000000.0,(0.01033401+0.02033424j)
231,1630800000.0,(0.02090263+0.00881195j)
232,1637600000.0,(0.02186012-0.00693512j)
233,1644400000.0,(0.01236439-0.01943684j)
234,1651200000.0,(-0.003383636-0.02303886j)
235,1658000000.0,(-0.01770401-0.01530743j)
236,1664800000.0,(-0.02357101-0.0002403259j)
237,1671600000.0,(-0.01849174+0.01530838j)
238,1678400000.0,(-0.003938675+0.02414703j)
239,1685200000.0,(0.01321983+0.02108002j)
240,1692000000.0,(0.02429962+0.00716782j)
241,1698800000.0,(0.02317238-0.01083755j)
