,Freq (Hz),Complex (decimal)
0,60000000.0,(-0.0001067296-6.535649e-05j)
1,66800000.0,(-6.056205e-05+5.773828e-05j)
2,73600000.0,(-1.72928e-05+0.0001527444j)
3,80400000.0,(7.51168e-05+0.00016132j)
4,87200000.0,(0.0001611337+3.91454e-05j)
5,94000000.0,(0.0001932308-3.805757e-05j)
6,100800000.0,(0.0001364052-0.0001930594j)
7,107600000.0,(-4.643202e-05-0.0002896041j)
8,114400000.0,(-0.0002221912-0.0001981854j)
9,121200000.0,(-0.0003207922+3.0696e-06j)
10,128000000.0,(-0.0002908409+0.0002406538j)
11,134800000.0,(-2.577901e-05+0.0003933907j)
12,141600000.0,(0.0002249181+0.0003284812j)
13,148400000.0,(0.0004329383+0.000148803j)
14,155200000.0,(0.0004918277-0.0002154112j)
15,162000000.0,(0.0002520978-0.0005163252j)
16,168800000.0,(-0.0002074242-0.0005776286j)
17,175600000.0,(-0.0005580783-0.0003260374j)
18,182400000.0,(-0.0006567836+0.0001302361j)
19,189200000.0,(-0.0004350245+0.0005967617j)
20,196000000.0,(1.04308e-05+0.0007904768j)
21,202800000.0,(0.0006106198+0.000590086j)
22,209600000.0,(0.0008932352+5.42402e-05j)
23,216400000.0,(0.000757277-0.0005919933j)
24,223200000.0,(0.0001793504-0.0009781122j)
25,230000000.0,(-0.000526011-0.0009075999j)
26,236800000.0,(-0.001046658-0.000363946j)
27,243600000.0,(-0.001042783+0.0004318357j)
28,250400000.0,(-0.0005088449+0.001039863j)
29,257200000.0,(0.0003353357+0.001190364j)
30,264000000.0,(0.001071215+0.0006989241j)
31,270800000.0,(0.001369357-0.00017488j)
32,277600000.0,(0.0009580851-0.001104712j)
33,284400000.0,(-3.170967e-05-0.001511216j)
34,291200000.0,(-0.001070619-0.001144886j)
35,298000000.0,(-0.001560569-0.0001703501j)
36,304800000.0,(-0.00132215+0.0009235144j)
37,311600000.0,(-0.0004043579+0.001643777j)
38,318400000.0,(0.0008322001+0.001587272j)
39,325200000.0,(0.001752853+0.000710845j)
40,332000000.0,(0.00180459-0.0006554127j)
41,338800000.0,(0.0009146929-0.001797676j)
42,345600000.0,(-0.0004895926-0.001967549j)
43,352400000.0,(-0.001695633-0.001225591j)
44,359200000.0,(-0.002201796+0.000196218j)
45,366000000.0,(-0.001559734+0.001645565j)
46,372800000.0,(-0.0001034737+0.002321839j)
47,379600000.0,(0.001526892+0.001836836j)
48,386400000.0,(0.002390862+0.000427604j)
49,393200000.0,(0.002139091-0.00127387j)
50,400000000.0,(0.00085032-0.002423286j)
51,406800000.0,(-0.001055479-0.0024997j)
52,413600000.0,(-0.002592921-0.001191616j)
53,420400000.0,(-0.002734303+0.000855684j)
54,427200000.0,(-0.001478553+0.002460241j)
55,434000000.0,(0.000475526+0.002872944j)
56,440800000.0,(0.002265453+0.001924992j)
57,447600000.0,(0.003088236-2.062321e-05j)
58,454400000.0,(0.002433419-0.002128243j)
59,461200000.0,(0.000388622-0.003309846j)
60,468000000.0,(-0.001962304-0.002704382j)
61,474800000.0,(-0.003238201-0.0008397102j)
62,481600000.0,(-0.003036499+0.001515865j)
63,488400000.0,(-0.001421213+0.003210068j)
