,Freq (Hz),Complex (decimal)
0,60000000.0,(-7.975101e-05-3.545731e-05j)
1,66800000.0,(-0.0001040734+5.100296e-05j)
2,73600000.0,(-5.183742e-05+9.341911e-05j)
3,80400000.0,(6.63102e-05+0.0001485497j)
4,87200000.0,(0.0001446903+7.46995e-05j)
5,94000000.0,(0.0001711622-6.028265e-05j)
6,100800000.0,(0.0001573563-0.000216037j)
7,107600000.0,(-7.465482e-06-0.0002714843j)
8,114400000.0,(-0.0002440512-0.0001836717j)
9,121200000.0,(-0.0003476143-3.099442e-06j)
10,128000000.0,(-0.0002720505+0.0002466738j)
11,134800000.0,(-5.65052e-05+0.000374198j)
12,141600000.0,(0.0002499521+0.0003572106j)
13,148400000.0,(0.0004499257+0.0001201928j)
14,155200000.0,(0.0004787445-0.0002168119j)
15,162000000.0,(0.0002188087-0.0005341172j)
16,168800000.0,(-0.0001927614-0.0005846024j)
17,175600000.0,(-0.0005356073-0.0003153086j)
18,182400000.0,(-0.0006707907+0.0001540184j)
19,189200000.0,(-0.0004462302+0.0006100237j)
20,196000000.0,(4.50909e-05+0.0007940531j)
21,202800000.0,(0.0005930066+0.0006156862j)
22,209600000.0,(0.000880301+5.65946e-05j)
23,216400000.0,(0.0007165372-0.0005731881j)
24,223200000.0,(0.0001828671-0.0009735823j)
25,230000000.0,(-0.0005307198-0.000896275j)
26,236800000.0,(-0.001031339-0.0003343821j)
27,243600000.0,(-0.001076877+0.0004494786j)
28,250400000.0,(-0.0005038381+0.001058996j)
29,257200000.0,(0.0003126264+0.001181602j)
30,264000000.0,(0.001103044+0.0007101297j)
31,270800000.0,(0.001360059-0.000169158j)
32,277600000.0,(0.000936389-0.001113653j)
33,284400000.0,(-4.506111e-05-0.001519322j)
34,291200000.0,(-0.001055837-0.001131415j)
35,298000000.0,(-0.001557231-0.0001548529j)
36,304800000.0,(-0.001340628+0.0009547472j)
37,311600000.0,(-0.0004149675+0.001653075j)
38,318400000.0,(0.000788331+0.001593351j)
39,325200000.0,(0.001776218+0.0006542206j)
40,332000000.0,(0.001825809-0.0006980896j)
41,338800000.0,(0.0009464025-0.00176084j)
42,345600000.0,(-0.000485301-0.001980424j)
43,352400000.0,(-0.00168848-0.001224518j)
44,359200000.0,(-0.002162218+0.000216246j)
45,366000000.0,(-0.001567483+0.001642704j)
46,372800000.0,(-5.781651e-05+0.002366662j)
47,379600000.0,(0.001500368+0.001814604j)
48,386400000.0,(0.002413034+0.000419021j)
49,393200000.0,(0.002132297-0.001262665j)
50,400000000.0,(0.000807285-0.002451897j)
51,406800000.0,(-0.001049757-0.002496719j)
52,413600000.0,(-0.002554774-0.001211762j)
53,420400000.0,(-0.002748728+0.00083518j)
54,427200000.0,(-0.001477242+0.002467632j)
55,434000000.0,(0.000483155+0.002880692j)
56,440800000.0,(0.002280235+0.001936436j)
57,447600000.0,(0.003092289-3.933907e-06j)
58,454400000.0,(0.002394438-0.002108097j)
59,461200000.0,(0.000366449-0.003294587j)
60,468000000.0,(-0.001981974-0.002742887j)
61,474800000.0,(-0.003233194-0.0007922649j)
62,481600000.0,(-0.003044128+0.001490593j)
63,488400000.0,(-0.001422167+0.003216028j)
64,495200000.0,(0.001095533+0.003498793j)
65,502000000.0,(0.003303289+0.00194788j)
66,508800000.0,(0.003818512-0.0008265972j)
67,515600000.0,(0.002255917-0.003198385j)
68,522400000.0,(-0.000369072-0.003816128j)
69,529200000.0,(-0.002713919-0.002715588j)
70,536000000.0,(-0.003876925-0.0004560947j)
71,542800000.0,(-0.003454924+0.002264261j)
72,549600000.0,(-0.001188278+0.004196167j)
73,556400000.0,(0.002083302+0.0040555j)
74,563200000.0,(0.004349709+0.001607418j)
75,570000000.0,(0.004333973-0.001722813j)
76,576800000.0,(0.002180099-0.004064083j)
77,583600000.0,(-0.0009713173-0.004587889j)
78,590400000.0,(-0.003831387-0.002946377j)
79,597200000.0,(-0.00492692+0.00026989j)
80,604000000.0,(-0.003644347+0.003502369j)
81,610800000.0,(-0.0005116463+0.005148888j)
82,617600000.0,(0.003089905+0.004366398j)
83,624400000.0,(0.005358219+0.001279593j)
84,631200000.0,(0.004981279-0.00266242j)
85,638000000.0,(0.001981974-0.005401134j)
86,644800000.0,(-0.002195597-0.005447865j)
87,651600000.0,(-0.005272388-0.00269413j)
88,658400000.0,(-0.005849361+0.001403809j)
89,665200000.0,(-0.003612757+0.005049944j)
90,672000000.0,(0.000703096+0.006330967j)
91,678800000.0,(0.004769802+0.004338026j)
92,685600000.0,(0.006520271+6.938e-05j)
93,692400000.0,(0.005008936-0.004221916j)
94,699200000.0,(0.001151562-0.006406307j)
95,706000000.0,(-0.003320217-0.00584507j)
96,712800000.0,(-0.006588936-0.002331734j)
97,719600000.0,(-0.006732941+0.002718925j)
98,726400000.0,(-0.003217697+0.006659985j)
99,733200000.0,(0.002102375+0.007138252j)
100,740000000.0,(0.006304741+0.004011154j)
101,746800000.0,(0.007428646-0.001047611j)
102,753600000.0,(0.005097866-0.005739212j)
103,760400000.0,(0.000155449-0.007949829j)
104,767200000.0,(-0.005241871-0.006188393j)
105,774000000.0,(-0.008206844-0.001169205j)
106,780800000.0,(-0.007018089+0.004645348j)
107,787600000.0,(-0.002351761+0.008140564j)
108,794400000.0,(0.003509998+0.007863522j)
109,801200000.0,(0.008056164+0.003836155j)
110,808000000.0,(0.008923054-0.002552032j)
111,814800000.0,(0.005080223-0.008223534j)
112,821600000.0,(-0.001919746-0.009654045j)
113,828400000.0,(-0.00785923-0.005904675j)
114,835200000.0,(-0.009755135+0.000681877j)
115,842000000.0,(-0.006981373+0.007044315j)
116,848800000.0,(-0.0007610321+0.01003265j)
