,Freq (Hz),Complex (decimal)
0,60000000.0,(-6.375462e-05-1.955777e-05j)
1,66800000.0,(-6.469339e-05+4.620105e-05j)
2,73600000.0,(-1.967698e-05+0.0001314655j)
3,80400000.0,(5.29215e-05+0.0001551285j)
4,87200000.0,(0.0001848191+6.219e-05j)
5,94000000.0,(0.0001718327-3.571063e-05j)
6,100800000.0,(0.0001291931-0.0001900643j)
7,107600000.0,(-2.387166e-05-0.0002752542j)
8,114400000.0,(-0.0002336651-0.000211969j)
9,121200000.0,(-0.0003172755-1.910329e-05j)
10,128000000.0,(-0.000257045+0.0002704263j)
11,134800000.0,(-5.918741e-05+0.0003932416j)
12,141600000.0,(0.000246197+0.0003534257j)
13,148400000.0,(0.0004476607+0.0001294017j)
14,155200000.0,(0.0004715025-0.0002326667j)
15,162000000.0,(0.0002112389-0.0005223155j)
16,168800000.0,(-0.0002129078-0.0005270243j)
17,175600000.0,(-0.0005702376-0.0003088117j)
18,182400000.0,(-0.0006358027+0.0001714826j)
19,189200000.0,(-0.0004382432+0.0005613267j)
20,196000000.0,(6.46114e-05+0.0007785261j)
21,202800000.0,(0.0005954504+0.0005738437j)
22,209600000.0,(0.0008683503+1.46627e-05j)
23,216400000.0,(0.0007096231-0.0006037354j)
24,223200000.0,(0.0001615286-0.0009996295j)
25,230000000.0,(-0.0005248189-0.0008907914j)
26,236800000.0,(-0.001024187-0.0003157258j)
27,243600000.0,(-0.0009987354+0.0004447699j)
28,250400000.0,(-0.0004457831+0.001044691j)
29,257200000.0,(0.0003687143+0.001166701j)
30,264000000.0,(0.001070321+0.0006821156j)
31,270800000.0,(0.00132978-0.0002366304j)
32,277600000.0,(0.0008718967-0.001135945j)
33,284400000.0,(-9.286404e-05-0.001500964j)
34,291200000.0,(-0.001061678-0.001097679j)
35,298000000.0,(-0.001544476-9.453297e-05j)
36,304800000.0,(-0.001249313+0.0009716749j)
37,311600000.0,(-0.0003484488+0.001624584j)
38,318400000.0,(0.0008080006+0.001558304j)
39,325200000.0,(0.001717091+0.0006005764j)
40,332000000.0,(0.001775503-0.0007348061j)
41,338800000.0,(0.0008275509-0.001732945j)
42,345600000.0,(-0.0005055666-0.001907825j)
43,352400000.0,(-0.00169456-0.001154184j)
